trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
99,48,0.0,1.9800000000000004e-05,1.9800000000000004e-05,308.754047947,0.0,1778750225.737983,,,,,,,,,,,,,,,,,,,,
99,49,0.0,1.9800000000000004e-05,1.9800000000000004e-05,309.424427993,0.0,1778750226.408423,,,,,,,,,,,,,,,,,,,,
99,50,0.0,1.9800000000000004e-05,1.9800000000000004e-05,310.095210704,0.0,1778750227.0791755,,,,,,,,,,,,,,,,,,,,
99,51,,,,310.766080104,,1778750227.750081,1.0,0.020565466955304146,,,,,,,,,,,,,,,,,,
109,52,0.0,2.18e-05,2.18e-05,334.892299864,0.0,1778750251.8763099,,,,,,,,,,,,,,,,,,,,
109,53,0.0,2.18e-05,2.18e-05,335.563055012,0.0,1778750252.547098,,,,,,,,,,,,,,,,,,,,
109,54,0.0,2.18e-05,2.18e-05,336.233627956,0.0,1778750253.2176027,,,,,,,,,,,,,,,,,,,,
109,55,0.0,2.18e-05,2.18e-05,336.905022193,0.0,1778750253.8889616,,,,,,,,,,,,,,,,,,,,
109,56,,,,337.575875719,,1778750254.5599601,1.0,0.03421561419963837,,,,,,,,,,,,,,,,,,
113,57,,,,372.607377021,,1778750289.5915115,1.0,,0.029149441048502922,4.15625,0.0,0.029149441048502922,6.15003776550293,0.8947070837020874,,,,,,,,,,,,
113,58,,,,373.018237814,,1778750290.0022147,1.0,,,,,,,,0.0,0.024354204535484314,0.024354204535484314,5.376561164855957,0.9217707514762878,3.8428306579589844,,,,,,
119,59,0.0,2.38e-05,2.38e-05,386.720488455,0.0,1778750303.7044058,,,,,,,,,,,,,,,,,,,,
119,60,0.0,2.38e-05,2.38e-05,387.39110261,0.0,1778750304.3750684,,,,,,,,,,,,,,,,,,,,
119,61,0.0,2.38e-05,2.38e-05,388.061528022,0.0,1778750305.0455182,,,,,,,,,,,,,,,,,,,,
119,62,0.0,2.38e-05,2.38e-05,388.732165892,0.0,1778750305.7161534,,,,,,,,,,,,,,,,,,,,
119,63,,,,389.403245645,,1778750306.387235,2.0,0.019718501716852188,,,,,,,,,,,,,,,,,,
129,64,0.0,2.58e-05,2.58e-05,413.531347376,0.0,1778750330.5153008,,,,,,,,,,,,,,,,,,,,
129,65,0.0,2.58e-05,2.58e-05,414.202686978,0.0,1778750331.1866012,,,,,,,,,,,,,,,,,,,,
129,66,0.0,2.58e-05,2.58e-05,414.873259329,0.0,1778750331.8572435,,,,,,,,,,,,,,,,,,,,
129,67,0.0,2.58e-05,2.58e-05,415.543947494,0.0,1778750332.5279531,,,,,,,,,,,,,,,,,,,,
129,68,,,,416.214836229,,1778750333.1988573,2.0,0.02669365704059601,,,,,,,,,,,,,,,,,,
139,69,0.0,2.7800000000000005e-05,2.7800000000000005e-05,440.338762534,0.0,1778750357.3227122,,,,,,,,,,,,,,,,,,,,
139,70,0.0,2.7800000000000005e-05,2.7800000000000005e-05,441.009260382,0.0,1778750357.9932234,,,,,,,,,,,,,,,,,,,,
139,71,0.0,2.7800000000000005e-05,2.7800000000000005e-05,441.679775576,0.0,1778750358.6637855,,,,,,,,,,,,,,,,,,,,
139,72,0.0,2.7800000000000005e-05,2.7800000000000005e-05,442.35044383,0.0,1778750359.3344803,,,,,,,,,,,,,,,,,,,,
139,73,,,,443.020819075,,1778750360.0049772,2.0,0.025707652792334557,,,,,,,,,,,,,,,,,,
149,74,0.0,2.98e-05,2.98e-05,467.143421349,0.0,1778750384.1273904,,,,,,,,,,,,,,,,,,,,
149,75,0.0,2.98e-05,2.98e-05,467.813527769,0.0,1778750384.7977095,,,,,,,,,,,,,,,,,,,,
149,76,0.0,2.98e-05,2.98e-05,468.484189022,0.0,1778750385.4681613,,,,,,,,,,,,,,,,,,,,
149,77,0.0,2.98e-05,2.98e-05,469.155008492,0.0,1778750386.1389906,,,,,,,,,,,,,,,,,,,,
149,78,,,,469.825649824,,1778750386.8096569,2.0,0.021697767078876495,,,,,,,,,,,,,,,,,,
159,79,0.0,3.18e-05,3.18e-05,493.948092105,0.0,1778750410.9320216,,,,,,,,,,,,,,,,,,,,
159,80,0.0,3.18e-05,3.18e-05,494.618299215,0.0,1778750411.602268,,,,,,,,,,,,,,,,,,,,
159,81,0.0,3.18e-05,3.18e-05,495.288579205,0.0,1778750412.2726283,,,,,,,,,,,,,,,,,,,,
159,82,0.0,3.18e-05,3.18e-05,495.959450251,0.0,1778750412.943467,,,,,,,,,,,,,,,,,,,,
159,83,,,,496.630280236,,1778750413.6142652,2.0,0.026172639802098274,,,,,,,,,,,,,,,,,,
169,84,0.0,3.38e-05,3.38e-05,520.740086039,0.0,1778750437.723952,,,,,,,,,,,,,,,,,,,,
169,85,0.0,3.38e-05,3.38e-05,521.408843565,0.0,1778750438.3930037,,,,,,,,,,,,,,,,,,,,
169,86,0.0,3.38e-05,3.38e-05,522.077402121,0.0,1778750439.0615625,,,,,,,,,,,,,,,,,,,,
169,87,0.0,3.38e-05,3.38e-05,522.746398455,0.0,1778750439.7305999,,,,,,,,,,,,,,,,,,,,
169,88,,,,523.415191293,,1778750440.399392,2.0,0.02728739008307457,,,,,,,,,,,,,,,,,,
170,89,,,,550.011358802,,1778750466.9954238,2.0,,0.029964467510581017,4.375,0.0,0.029964467510581017,6.2526984214782715,0.8898292779922485,,,,,,,,,,,,
170,90,,,,550.416057569,,1778750467.399975,2.0,,,,,,,,0.0,0.025102470070123672,0.025102470070123672,5.490718364715576,0.9180805683135986,3.8984375,,,,,,
179,91,0.0,3.58e-05,3.58e-05,572.214328145,0.0,1778750489.1982477,,,,,,,,,,,,,,,,,,,,
179,92,0.0,3.58e-05,3.58e-05,572.884528633,0.0,1778750489.8686986,,,,,,,,,,,,,,,,,,,,
179,93,0.0,3.58e-05,3.58e-05,573.554920378,0.0,1778750490.538976,,,,,,,,,,,,,,,,,,,,
