epoch,valid_r2,valid_mae,valid_medae,valid_rmse,test_r2,test_mae,test_medae,test_rmse
0,-0.0012156963348388672,23.054615020751953,21.799663543701172,27.093475341796875,0.017164647579193115,21.86812973022461,19.34856414794922,25.891483306884766
1,0.2083491086959839,20.5438232421875,19.152429580688477,24.091716766357422,0.18113213777542114,20.11056137084961,18.168766021728516,23.633251190185547
2,0.6513941287994385,12.242890357971191,8.303228378295898,15.987048149108887,0.6957011222839355,11.242311477661133,8.395393371582031,14.406773567199707
3,0.6837260127067566,10.819633483886719,7.237269878387451,15.227642059326172,0.6595442891120911,11.299295425415039,8.348262786865234,15.238662719726562
4,0.7631058692932129,9.19238567352295,5.711977005004883,13.178866386413574,0.773398756980896,8.891706466674805,5.849738121032715,12.432191848754883
5,0.7895177602767944,8.617789268493652,5.339529037475586,12.422490119934082,0.7896777391433716,8.568148612976074,5.74009895324707,11.977307319641113
6,0.803734540939331,8.38827133178711,5.715448379516602,11.995624542236328,0.805071234703064,8.030540466308594,5.173229217529297,11.530670166015625
7,0.8150771856307983,8.089214324951172,5.565046310424805,11.643838882446289,0.8097379207611084,7.867108345031738,5.039588928222656,11.39180850982666
8,0.8356923460960388,7.632558822631836,5.1471357345581055,10.975639343261719,0.8197432160377502,7.706500053405762,5.050817489624023,11.088233947753906
9,0.8231745362281799,7.799566745758057,5.428617477416992,11.386054992675781,0.8021064400672913,8.159419059753418,5.630092620849609,11.618025779724121
10,0.8146884441375732,8.050042152404785,5.711977005004883,11.6560697555542,0.7731395959854126,8.884839057922363,6.527763366699219,12.439299583435059
11,0.8415513634681702,7.360953330993652,4.933421611785889,10.778173446655273,0.8099252581596375,8.092863082885742,5.799833297729492,11.386198997497559
12,0.8473740220069885,7.442537307739258,5.292025566101074,10.578282356262207,0.8430454730987549,7.2351579666137695,5.064421653747559,10.3467378616333
13,0.8713831901550293,6.666642665863037,4.665763854980469,9.71068286895752,0.8573435544967651,6.79780387878418,4.688959121704102,9.864208221435547
14,0.8820037245750427,6.260395050048828,4.106651782989502,9.301115036010742,0.8611123561859131,6.638798713684082,4.451622009277344,9.733036994934082
15,0.8780310750007629,6.395367622375488,4.3602294921875,9.456393241882324,0.8688377141952515,6.57621955871582,4.438077926635742,9.458473205566406
16,0.8757430911064148,6.562533378601074,4.693264961242676,9.544675827026367,0.8491843938827515,7.111250877380371,5.080131530761719,10.142375946044922
17,0.858038067817688,7.060621738433838,5.235894203186035,10.202034950256348,0.8471196889877319,7.073610782623291,4.728645324707031,10.211565017700195
18,0.8816890716552734,6.342875957489014,4.301268577575684,9.313508987426758,0.8634055256843567,6.7099528312683105,4.8855438232421875,9.652351379394531
19,0.8919069170951843,5.97515344619751,4.019554138183594,8.902251243591309,0.866680920124054,6.479381561279297,4.4538726806640625,9.535921096801758
20,0.8569309115409851,6.918107032775879,4.698785781860352,10.241740226745605,0.8401248455047607,7.236180782318115,5.155801773071289,10.442561149597168
21,0.8639249205589294,6.774490833282471,4.482183456420898,9.988268852233887,0.8586283922195435,6.697180271148682,4.573277473449707,9.819686889648438
22,0.9003516435623169,5.778710842132568,3.810732841491699,8.547438621520996,0.8834846615791321,6.134089469909668,4.201240539550781,8.914727210998535
23,0.9042702913284302,5.703071117401123,3.963165283203125,8.377689361572266,0.884483814239502,6.111267566680908,4.259084701538086,8.876423835754395
24,0.8998017311096191,5.867490768432617,4.379406929016113,8.570991516113281,0.8834450840950012,6.111815452575684,4.146814346313477,8.916242599487305
25,0.8757023215293884,6.649346828460693,4.701581001281738,9.546241760253906,0.860661506652832,6.7505784034729,4.770750045776367,9.748820304870605
26,0.9053168296813965,5.548374176025391,3.614412307739258,8.331771850585938,0.8796499967575073,6.206246852874756,4.259577751159668,9.0602388381958
27,0.8881319761276245,6.308328628540039,4.623528957366943,9.056364059448242,0.8646947741508484,6.657392978668213,4.886357307434082,9.606691360473633
28,0.8963793516159058,6.101254940032959,4.390281677246094,8.71613597869873,0.8780293464660645,6.561398029327393,5.016025543212891,9.121037483215332
29,0.903770387172699,5.589033603668213,3.555299758911133,8.3995361328125,0.8843104243278503,6.10053825378418,4.251150131225586,8.883082389831543
30,0.9083595275878906,5.376831531524658,3.3593578338623047,8.19680404663086,0.8872514367103577,6.0273566246032715,4.235572814941406,8.76944351196289
31,0.9097750782966614,5.474833011627197,3.5120115280151367,8.13325023651123,0.8906807899475098,5.973695755004883,4.149701118469238,8.635049819946289
32,0.9101075530052185,5.412359237670898,3.5094175338745117,8.118250846862793,0.8902378678321838,5.894071578979492,4.092466354370117,8.6525239944458
33,0.8992626667022705,5.885923385620117,3.8940539360046387,8.594016075134277,0.8689779043197632,6.622864723205566,4.722970962524414,9.453417778015137
34,0.8913276195526123,6.166377067565918,4.25547981262207,8.926074028015137,0.84917813539505,7.307347297668457,5.629083633422852,10.142586708068848
35,0.9028258919715881,5.790176868438721,4.009349822998047,8.440655708312988,0.878293514251709,6.313958644866943,4.520928859710693,9.111154556274414
36,0.9038494229316711,5.681756496429443,3.9129905700683594,8.396084785461426,0.8924875855445862,5.8790812492370605,4.250679016113281,8.563392639160156
37,0.914368748664856,5.331181049346924,3.5002622604370117,7.923498630523682,0.891402006149292,5.946718215942383,4.11383581161499,8.606515884399414
38,0.9150276780128479,5.303654670715332,3.6259326934814453,7.892956256866455,0.8954431414604187,5.765679359436035,3.9771013259887695,8.444867134094238
39,0.9061962962150574,5.636715888977051,3.663680076599121,8.292984962463379,0.8910831809043884,6.0167436599731445,4.316463470458984,8.619142532348633
40,0.9109700322151184,5.521204471588135,3.8827409744262695,8.079211235046387,0.88866126537323,5.998472213745117,4.10859489440918,8.71444320678711
41,0.9168483018875122,5.259224891662598,3.543774127960205,7.807938575744629,0.8987194299697876,5.688241481781006,3.8970603942871094,8.311503410339355
42,0.9106707572937012,5.531209468841553,3.839488983154297,8.092781066894531,0.8891895413398743,5.921334743499756,4.00604248046875,8.693745613098145
43,0.8991786241531372,5.882187366485596,4.072299003601074,8.597600936889648,0.8772391676902771,6.285608291625977,4.272403717041016,9.150533676147461
44,0.9081348776817322,5.713271617889404,4.0517120361328125,8.206846237182617,0.8904767036437988,5.968269348144531,4.340070724487305,8.643104553222656
45,0.9111515283584595,5.5085248947143555,3.799030303955078,8.070971488952637,0.8876051902770996,6.051557540893555,4.275274276733398,8.755675315856934
46,0.9160235524177551,5.245398998260498,3.5563178062438965,7.846566200256348,0.8935224413871765,5.862428188323975,4.033502578735352,8.522079467773438
47,0.9110915660858154,5.455164432525635,3.6524276733398438,8.07369613647461,0.8897611498832703,5.853608131408691,3.955120086669922,8.671293258666992
48,0.9151909351348877,5.373312473297119,3.6670141220092773,7.885370254516602,0.892402708530426,5.883029937744141,3.9627323150634766,8.566771507263184
49,0.9183838367462158,5.189396381378174,3.4517879486083984,7.735509395599365,0.8937399983406067,5.860204696655273,4.04168701171875,8.5133695602417
50,0.9085149168968201,5.595589637756348,3.8118457794189453,8.189852714538574,0.8760407567024231,6.566567420959473,4.969547271728516,9.195090293884277
51,0.9193713068962097,5.2237229347229,3.5427112579345703,7.688571929931641,0.8948124647140503,5.778755187988281,3.9880409240722656,8.470298767089844
52,0.9159239530563354,5.362270832061768,3.630838394165039,7.851219177246094,0.8920785784721375,5.826722621917725,4.055839538574219,8.579666137695312
53,0.9082629680633545,5.577398777008057,3.9355125427246094,8.201122283935547,0.8762474656105042,6.5465006828308105,4.957437515258789,9.187419891357422
