lr-AdamW/pg3,_timestamp,trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,epoch,train/loss_step,val/mae_epoch,val/loss,val/mae,val/r2,train/loss_epoch,train/mae,test/r2,test/mae_epoch,test/mae
4.999908953905106e-05,1770719142.344762,169,51,4.999908953905106e-05,0.0004999908953905106,0.0004999908953905106,39.628787196,,,,,,,,,,,
,1770719142.3941739,169,52,,,,39.678361967,1.0,0.2683206796646118,,,,,,,,,
,1770719144.088598,171,53,,,,41.372812264,1.0,,10.2191743850708,0.3010381758213043,10.2191743850708,0.7015750408172607,,,,,
,1770719144.6336226,171,54,,,,41.917848155,1.0,,,,,,0.30807480216026306,11.026640892028809,,,
4.999880641698837e-05,1770719145.5671046,179,55,4.999880641698837e-05,0.0004999880641698837,0.0004999880641698837,42.854258716,,,,,,,,,,,
4.999880641698837e-05,1770719145.636796,179,56,4.999880641698837e-05,0.0004999880641698837,0.0004999880641698837,42.923131657,,,,,,,,,,,
,1770719145.686692,179,57,,,,42.970756124,2.0,0.4358315169811249,,,,,,,,,
4.999848604202271e-05,1770719146.9972267,189,58,4.999848604202271e-05,0.000499984860420227,0.000499984860420227,44.281355741,,,,,,,,,,,
4.999848604202271e-05,1770719147.0620925,189,59,4.999848604202271e-05,0.000499984860420227,0.000499984860420227,44.346075082,,,,,,,,,,,
,1770719147.1116583,189,60,,,,44.395623954,2.0,0.223414808511734,,,,,,,,,
4.999812543392182e-05,1770719148.2913795,199,61,4.999812543392182e-05,0.0004999812543392181,0.0004999812543392181,45.575568389,,,,,,,,,,,
4.999812543392182e-05,1770719148.3565688,199,62,4.999812543392182e-05,0.0004999812543392181,0.0004999812543392181,45.643093021,,,,,,,,,,,
,1770719148.406095,199,63,,,,45.690160138,2.0,0.5869894623756409,,,,,,,,,
4.999772757291794e-05,1770719149.5863273,209,64,4.999772757291794e-05,0.0004999772757291794,0.0004999772757291794,46.870451444,,,,,,,,,,,
4.999772757291794e-05,1770719149.6514409,209,65,4.999772757291794e-05,0.0004999772757291794,0.0004999772757291794,46.938084269,,,,,,,,,,,
,1770719149.7009475,209,66,,,,46.984968952,2.0,0.22443589568138123,,,,,,,,,
4.999729245901108e-05,1770719150.9115763,219,67,4.999729245901108e-05,0.0004999729245901107,0.0004999729245901107,48.198137831,,,,,,,,,,,
4.999729245901108e-05,1770719150.9763758,219,68,4.999729245901108e-05,0.0004999729245901107,0.0004999729245901107,48.262120334,,,,,,,,,,,
,1770719151.0259626,219,69,,,,48.310007825,2.0,0.34941667318344116,,,,,,,,,
4.999681860208512e-05,1770719152.2697158,229,70,4.999681860208512e-05,0.0004999681860208511,0.0004999681860208511,49.55626763,,,,,,,,,,,
4.999681860208512e-05,1770719152.3370876,229,71,4.999681860208512e-05,0.0004999681860208511,0.0004999681860208511,49.624058403,,,,,,,,,,,
,1770719152.3867114,229,72,,,,49.670874202,2.0,0.390480637550354,,,,,,,,,
4.999630600214005e-05,1770719153.6239579,239,73,4.999630600214005e-05,0.0004999630600214005,0.0004999630600214005,50.90814535,,,,,,,,,,,
4.999630600214005e-05,1770719153.6892104,239,74,4.999630600214005e-05,0.0004999630600214005,0.0004999630600214005,50.976091847,,,,,,,,,,,
,1770719153.7388544,239,75,,,,51.022826494,2.0,0.17050239443778992,,,,,,,,,
4.9995754659175874e-05,1770719154.979249,249,76,4.9995754659175874e-05,0.0004999575465917587,0.0004999575465917587,52.26609826,,,,,,,,,,,
4.9995754659175874e-05,1770719155.0441072,249,77,4.9995754659175874e-05,0.0004999575465917587,0.0004999575465917587,52.32808591,,,,,,,,,,,
,1770719155.0943565,249,78,,,,52.37868991,2.0,0.4326907694339752,,,,,,,,,
,1770719157.5554655,257,79,,,,54.839568059,2.0,,9.352560043334961,0.25086355209350586,9.352558135986328,0.7513120174407959,,,,,
,1770719158.1597793,257,80,,,,55.443873137,2.0,,,,,,0.26358434557914734,10.045948028564453,,,
4.999516606330872e-05,1770719158.3104522,259,81,4.999516606330872e-05,0.0004999516606330872,0.0004999516606330872,55.597225233,,,,,,,,,,,
4.999516606330872e-05,1770719158.3782034,259,82,4.999516606330872e-05,0.0004999516606330872,0.0004999516606330872,55.662210193,,,,,,,,,,,
,1770719158.4278274,259,83,,,,55.71194811,3.0,0.20359034836292267,,,,,,,,,
4.9994538724422456e-05,1770719159.607277,269,84,4.9994538724422456e-05,0.0004999453872442245,0.0004999453872442245,56.894239259,,,,,,,,,,,
4.9994538724422456e-05,1770719159.6752462,269,85,4.9994538724422456e-05,0.0004999453872442245,0.0004999453872442245,56.959260073,,,,,,,,,,,
,1770719159.7250867,269,86,,,,57.009186844,3.0,0.23985815048217773,,,,,,,,,
4.999387264251709e-05,1770719160.904612,279,87,4.999387264251709e-05,0.0004999387264251709,0.0004999387264251709,58.191178742,,,,,,,,,,,
4.999387264251709e-05,1770719160.9719255,279,88,4.999387264251709e-05,0.0004999387264251709,0.0004999387264251709,58.25598283,,,,,,,,,,,
,1770719161.0217764,279,89,,,,58.305868619,3.0,0.17949190735816956,,,,,,,,,
4.999316930770874e-05,1770719162.2530956,289,90,4.999316930770874e-05,0.0004999316930770874,0.0004999316930770874,59.537175006,,,,,,,,,,,
4.999316930770874e-05,1770719162.3184328,289,91,4.999316930770874e-05,0.0004999316930770874,0.0004999316930770874,59.602411164,,,,,,,,,,,
,1770719162.3681145,289,92,,,,59.652143942,3.0,0.3359212577342987,,,,,,,,,
4.9992427229881286e-05,1770719163.5495386,299,93,4.9992427229881286e-05,0.0004999242722988128,0.0004999242722988128,60.833768667,,,,,,,,,,,
4.9992427229881286e-05,1770719163.614807,299,94,4.9992427229881286e-05,0.0004999242722988128,0.0004999242722988128,60.898846427,,,,,,,,,,,
,1770719163.664576,299,95,,,,60.94860898,3.0,0.2749122977256775,,,,,,,,,
4.999164789915085e-05,1770719164.845235,309,96,4.999164789915085e-05,0.0004999164789915084,0.0004999164789915084,62.129406298,,,,,,,,,,,
4.999164789915085e-05,1770719164.9103303,309,97,4.999164789915085e-05,0.0004999164789915084,0.0004999164789915084,62.197089709,,,,,,,,,,,
,1770719164.959895,309,98,,,,62.243916935,3.0,0.26926180720329285,,,,,,,,,
4.9990829825401307e-05,1770719166.1673276,319,99,4.9990829825401307e-05,0.000499908298254013,0.000499908298254013,63.454110749,,,,,,,,,,,
4.9990829825401307e-05,1770719166.2322865,319,100,4.9990829825401307e-05,0.000499908298254013,0.000499908298254013,63.516250888,,,,,,,,,,,
,1770719166.2818286,319,101,,,,63.565790216,3.0,0.2057296335697174,,,,,,,,,
4.998997300863266e-05,1770719167.4695606,329,102,4.998997300863266e-05,0.0004998997300863266,0.0004998997300863266,64.756265827,,,,,,,,,,,
4.998997300863266e-05,1770719167.5371091,329,103,4.998997300863266e-05,0.0004998997300863266,0.0004998997300863266,64.821090916,,,,,,,,,,,
,1770719167.5867455,329,104,,,,64.870764275,3.0,0.3211110532283783,,,,,,,,,
4.998907744884491e-05,1770719168.7700636,339,105,4.998907744884491e-05,0.0004998907744884491,0.0004998907744884491,66.057181068,,,,,,,,,,,
4.998907744884491e-05,1770719168.8379915,339,106,4.998907744884491e-05,0.0004998907744884491,0.0004998907744884491,66.121970243,,,,,,,,,,,
,1770719168.887654,339,107,,,,66.171671414,3.0,0.1987149566411972,,,,,,,,,
,1770719170.811467,343,108,,,,68.095570556,3.0,,9.182000160217285,0.24128594994544983,9.182000160217285,0.7608169913291931,,,,,
,1770719171.384445,343,109,,,,68.668547056,3.0,,,,,,0.24790599942207336,9.637317657470703,,,
4.998814463615418e-05,1770719172.0655506,349,110,4.998814463615418e-05,0.0004998814463615418,0.0004998814463615418,69.352160644,,,,,,,,,,,
4.998814463615418e-05,1770719172.1331956,349,111,4.998814463615418e-05,0.0004998814463615418,0.0004998814463615418,69.420059058,,,,,,,,,,,
,1770719172.1829267,349,112,,,,69.467139756,4.0,0.16891750693321228,,,,,,,,,
4.998717308044434e-05,1770719173.3667338,359,113,4.998717308044434e-05,0.0004998717308044434,0.0004998717308044434,70.650933008,,,,,,,,,,,
4.998717308044434e-05,1770719173.4370296,359,114,4.998717308044434e-05,0.0004998717308044434,0.0004998717308044434,70.72414625,,,,,,,,,,,
,1770719173.487416,359,115,,,,70.771516563,4.0,0.08888105303049088,,,,,,,,,
4.9986164271831515e-05,1770719174.689915,369,116,4.9986164271831515e-05,0.0004998616427183151,0.0004998616427183151,71.974111798,,,,,,,,,,,
4.9986164271831515e-05,1770719174.75528,369,117,4.9986164271831515e-05,0.0004998616427183151,0.0004998616427183151,72.042088019,,,,,,,,,,,
,1770719174.804914,369,118,,,,72.088977479,4.0,0.16260261833667755,,,,,,,,,
4.998511672019959e-05,1770719175.9887965,379,119,4.998511672019959e-05,0.0004998511672019959,0.0004998511672019959,73.276071456,,,,,,,,,,,
4.998511672019959e-05,1770719176.0537384,379,120,4.998511672019959e-05,0.0004998511672019959,0.0004998511672019959,73.340054348,,,,,,,,,,,
,1770719176.1033432,379,121,,,,73.387458983,4.0,0.33132144808769226,,,,,,,,,
4.9984030425548556e-05,1770719177.2872388,389,122,4.9984030425548556e-05,0.0004998403042554856,0.0004998403042554856,74.571427026,,,,,,,,,,,
4.9984030425548556e-05,1770719177.3527424,389,123,4.9984030425548556e-05,0.0004998403042554856,0.0004998403042554856,74.63908007,,,,,,,,,,,
,1770719177.4023733,389,124,,,,74.686400518,4.0,0.21420828998088837,,,,,,,,,
4.998290687799454e-05,1770719178.587032,399,125,4.998290687799454e-05,0.0004998290687799454,0.0004998290687799454,75.871182335,,,,,,,,,,,
4.998290687799454e-05,1770719178.6523962,399,126,4.998290687799454e-05,0.0004998290687799454,0.0004998290687799454,75.939084295,,,,,,,,,,,
,1770719178.7020135,399,127,,,,75.986076689,4.0,0.14791631698608398,,,,,,,,,
4.998174458742142e-05,1770719179.885371,409,128,4.998174458742142e-05,0.0004998174458742142,0.0004998174458742142,77.169588314,,,,,,,,,,,
4.998174458742142e-05,1770719179.9507174,409,129,4.998174458742142e-05,0.0004998174458742142,0.0004998174458742142,77.237098393,,,,,,,,,,,
,1770719180.0003347,409,130,,,,77.284425081,4.0,0.11528737843036652,,,,,,,,,
4.99805435538292e-05,1770719181.1916697,419,131,4.99805435538292e-05,0.0004998054355382919,0.0004998054355382919,78.475881139,,,,,,,,,,,
4.99805435538292e-05,1770719181.2580411,419,132,4.99805435538292e-05,0.0004998054355382919,0.0004998054355382919,78.542170151,,,,,,,,,,,
,1770719181.3086634,419,133,,,,78.592942965,4.0,0.25881826877593994,,,,,,,,,
4.997930377721787e-05,1770719182.5150917,429,134,4.997930377721787e-05,0.0004997930377721786,0.0004997930377721786,79.799265243,,,,,,,,,,,
4.997930377721787e-05,1770719182.5707538,429,135,4.997930377721787e-05,0.0004997930377721786,0.0004997930377721786,79.854822286,,,,,,,,,,,
,1770719182.5902853,429,136,,,,79.87432904,4.0,0.5519030094146729,,,,,,,,,
,1770719184.0865808,429,137,,,,81.370841787,4.0,,9.049521446228027,0.2220313400030136,9.049521446228027,0.7799056768417358,,,,,
,1770719184.6845703,429,138,,,,81.968748339,4.0,,,,,,0.23617848753929138,9.31045150756836,,,
4.997802823781968e-05,1770719188.4240093,439,139,4.997802823781968e-05,0.0004997802823781967,0.0004997802823781967,85.708219262,,,,,,,,,,,
4.997802823781968e-05,1770719188.5833738,439,140,4.997802823781968e-05,0.0004997802823781967,0.0004997802823781967,85.867413648,,,,,,,,,,,
,1770719188.7320464,439,141,,,,86.016032089,5.0,0.6013793349266052,,,,,,,,,
4.9976712465286255e-05,1770719191.628952,449,142,4.9976712465286255e-05,0.0004997671246528626,0.0004997671246528626,88.916141144,,,,,,,,,,,
4.9976712465286255e-05,1770719191.7882128,449,143,4.9976712465286255e-05,0.0004997671246528626,0.0004997671246528626,89.07233186,,,,,,,,,,,
,1770719191.9333627,449,144,,,,89.217337224,5.0,0.31418874859809875,,,,,,,,,
4.9975359439849854e-05,1770719194.8269274,459,145,4.9975359439849854e-05,0.0004997535943984985,0.0004997535943984985,92.114086799,,,,,,,,,,,
4.9975359439849854e-05,1770719194.9860086,459,146,4.9975359439849854e-05,0.0004997535943984985,0.0004997535943984985,92.27305853,,,,,,,,,,,
,1770719195.1305087,459,147,,,,92.414549695,5.0,0.15509919822216034,,,,,,,,,
4.997396767139435e-05,1770719198.0251458,469,148,4.997396767139435e-05,0.0004997396767139435,0.0004997396767139435,95.309320058,,,,,,,,,,,
4.997396767139435e-05,1770719198.1846728,469,149,4.997396767139435e-05,0.0004997396767139435,0.0004997396767139435,95.468710238,,,,,,,,,,,
,1770719198.3292031,469,150,,,,95.613193706,5.0,0.17513273656368256,,,,,,,,,
4.9972537159919743e-05,1770719201.220458,479,151,4.9972537159919743e-05,0.0004997253715991974,0.0004997253715991974,98.50460527,,,,,,,,,,,
4.9972537159919743e-05,1770719201.3798025,479,152,4.9972537159919743e-05,0.0004997253715991974,0.0004997253715991974,98.667058609,,,,,,,,,,,
,1770719201.5242608,479,153,,,,98.808305096,5.0,0.24543723464012146,,,,,,,,,
4.997106939554215e-05,1770719204.417579,489,154,4.997106939554215e-05,0.0004997106939554214,0.0004997106939554214,101.701780322,,,,,,,,,,,
4.997106939554215e-05,1770719204.577422,489,155,4.997106939554215e-05,0.0004997106939554214,0.0004997106939554214,101.861465155,,,,,,,,,,,
,1770719204.7220318,489,156,,,,102.005999719,5.0,0.32139062881469727,,,,,,,,,
4.9969562888145446e-05,1770719207.6163547,499,157,4.9969562888145446e-05,0.0004996956288814545,0.0004996956288814545,104.900522987,,,,,,,,,,,
4.9969562888145446e-05,1770719207.8397868,499,158,4.9969562888145446e-05,0.0004996956288814545,0.0004996956288814545,105.123959112,,,,,,,,,,,
,1770719207.9858062,499,159,,,,105.269834935,5.0,0.20235130190849304,,,,,,,,,
4.9968019127845765e-05,1770719210.9442403,509,160,4.9968019127845765e-05,0.0004996801912784577,0.0004996801912784577,108.228416022,,,,,,,,,,,
4.9968019127845765e-05,1770719211.105265,509,161,4.9968019127845765e-05,0.0004996801912784577,0.0004996801912784577,108.389346299,,,,,,,,,,,
,1770719211.2505605,509,162,,,,108.534618603,5.0,0.10792993754148483,,,,,,,,,
,1770719214.5637913,515,163,,,,111.848052194,5.0,,8.746676445007324,0.22111205756664276,8.74667739868164,0.7808206081390381,,,,,
,1770719216.0485091,515,164,,,,113.332627977,5.0,,,,,,0.3552461266517639,11.271777153015137,,,
4.996643662452698e-05,1770719217.050762,519,165,4.996643662452698e-05,0.0004996643662452698,0.0004996643662452698,114.337178743,,,,,,,,,,,
4.996643662452698e-05,1770719217.2176738,519,166,4.996643662452698e-05,0.0004996643662452698,0.0004996643662452698,114.504063359,,,,,,,,,,,
,1770719217.3636386,519,167,,,,114.64780481,6.0,0.25854602456092834,,,,,,,,,
4.996481537818909e-05,1770719220.3996665,529,168,4.996481537818909e-05,0.0004996481537818909,0.0004996481537818909,117.683858304,,,,,,,,,,,
4.996481537818909e-05,1770719220.55976,529,169,4.996481537818909e-05,0.0004996481537818909,0.0004996481537818909,117.843797107,,,,,,,,,,,
,1770719220.7063167,529,170,,,,117.990288466,6.0,0.25617310404777527,,,,,,,,,
4.9963155388832094e-05,1770719223.5984256,539,171,4.9963155388832094e-05,0.0004996315538883209,0.0004996315538883209,120.882704331,,,,,,,,,,,
4.9963155388832094e-05,1770719223.7585173,539,172,4.9963155388832094e-05,0.0004996315538883209,0.0004996315538883209,121.042558487,,,,,,,,,,,
,1770719223.90306,539,173,,,,121.187054373,6.0,0.1814311444759369,,,,,,,,,
4.996145814657212e-05,1770719226.7943158,549,174,4.996145814657212e-05,0.0004996145814657212,0.0004996145814657212,124.078473754,,,,,,,,,,,
4.996145814657212e-05,1770719226.9539077,549,175,4.996145814657212e-05,0.0004996145814657212,0.0004996145814657212,124.237942631,,,,,,,,,,,
,1770719227.0988934,549,176,,,,124.382864376,6.0,0.24401423335075378,,,,,,,,,
4.995972365140915e-05,1770719229.9944587,559,177,4.995972365140915e-05,0.0004995972365140915,0.0004995972365140915,127.281124338,,,,,,,,,,,
4.995972365140915e-05,1770719230.1542933,559,178,4.995972365140915e-05,0.0004995972365140915,0.0004995972365140915,127.441054628,,,,,,,,,,,
,1770719230.299342,559,179,,,,127.583386767,6.0,0.1893017292022705,,,,,,,,,
4.9957950413227085e-05,1770719233.1959043,569,180,4.9957950413227085e-05,0.0004995795041322709,0.0004995795041322709,130.480104693,,,,,,,,,,,
4.9957950413227085e-05,1770719233.356043,569,181,4.9957950413227085e-05,0.0004995795041322709,0.0004995795041322709,130.643155008,,,,,,,,,,,
,1770719233.500716,569,182,,,,130.78472503,6.0,0.17266002297401428,,,,,,,,,
4.9956138432025914e-05,1770719236.3928168,579,183,4.9956138432025914e-05,0.0004995613843202591,0.0004995613843202591,133.67696214,,,,,,,,,,,
4.9956138432025914e-05,1770719236.5521493,579,184,4.9956138432025914e-05,0.0004995613843202591,0.0004995613843202591,133.836185736,,,,,,,,,,,
,1770719236.6972067,579,185,,,,133.981183656,6.0,0.1450709104537964,,,,,,,,,
4.9954287707805635e-05,1770719239.590015,589,186,4.9954287707805635e-05,0.0004995428770780563,0.0004995428770780563,136.874219122,,,,,,,,,,,
4.9954287707805635e-05,1770719239.750954,589,187,4.9954287707805635e-05,0.0004995428770780563,0.0004995428770780563,137.034994414,,,,,,,,,,,
,1770719239.8960238,589,188,,,,137.179987596,6.0,0.19019025564193726,,,,,,,,,
4.995239973068238e-05,1770719242.7907515,599,189,4.995239973068238e-05,0.0004995239973068237,0.0004995239973068237,140.074893082,,,,,,,,,,,
4.995239973068238e-05,1770719242.9501374,599,190,4.995239973068238e-05,0.0004995239973068237,0.0004995239973068237,140.234220895,,,,,,,,,,,
,1770719243.0949776,599,191,,,,140.379069309,6.0,0.18841052055358887,,,,,,,,,
,1770719245.0766985,601,192,,,,142.360866459,6.0,,7.307793140411377,0.1524229198694229,7.3077921867370605,0.8489145040512085,,,,,
