run_id,run_name,seed,best_val_mae,best_epoch,final_test_mae,final_test_r2
2jqzog69,finetune-seed42-44067723,42,4.972037315368652,214.0,,
gs1rgoka,finetune-seed40-44067721,40,4.959049701690674,116.0,4.880612850189209,0.9259670376777648
qt937hv3,finetune-seed41-44067722,41,4.987378120422363,85.0,4.974635601043701,0.9207957983016968
t0cyrtba,finetune-seed43-44067724,43,4.9795708656311035,118.0,4.669369697570801,0.9305573105812072
