metric,mean,std,min,max
Test MAE (years),4.7857152938842775,0.1412360530521593,4.640602111816406,4.974635601043701
Test R²,0.9273095011711121,0.004270966856345199,0.9207957983016968,0.9315588474273682
Val MAE Best (years),4.9501749038696286,0.05540600445881087,4.852838516235352,4.987378120422363
Train MAE Final (years),2.341032600402832,0.1352969592652517,2.1792752742767334,2.554658889770508
Best Epoch,131.6,48.562331080787295,85.0,214.0
