metric,mean,min_estimate,max_estimate,note
MEDAE (estimated),3.752193021774292,3.389077568054199,4.115308475494385,Based on MAE × 0.7-0.85
RMSE (estimated),6.415039682388306,6.051924228668213,6.778155136108398,Based on MAE × 1.25-1.4
