split,label_age,model_mse,b1_mse,b3_mse,b4_mse
unknown,12.416666984558105,0.0047661485,0.107548736,0.004506046,0.019070439
unknown,7.416666507720947,0.0044590193,0.10868547,0.004279564,0.02181466
unknown,9.666666984558105,0.0044204784,0.10736264,0.0048938,0.032687616
unknown,8.083333015441895,0.004727858,0.106536955,0.0053218873,0.02377176
unknown,5.833333492279053,0.004967305,0.10813593,0.004688771,0.038462397
unknown,8.0,0.0044591282,0.107834965,0.0051367604,0.03230868
unknown,19.25,0.0038233267,0.10830073,0.003681735,0.043680217
unknown,10.666666984558105,0.00497675,0.11057142,0.004956551,0.015397626
unknown,8.583333015441895,0.0041019297,0.1081592,0.0039641815,0.028584674
unknown,7.25,0.0045887893,0.1092152,0.0048136697,0.01716565
unknown,8.083333015441895,0.004323757,0.11108721,0.004679184,0.02940378
unknown,14.166666984558105,0.0052304766,0.1087479,0.018905805,0.03453824
unknown,13.5,0.00395627,0.10868807,0.0042354236,0.020601861
unknown,13.5,0.004268449,0.10801423,0.0047346954,0.01638689
unknown,18.25,0.0042385794,0.10785151,0.004415242,0.01846409
unknown,16.25,0.0046146903,0.10701083,0.0050355894,0.044952404
unknown,26.25,0.0040639173,0.108276166,0.0042055813,0.027690176
unknown,17.0,0.0042850208,0.1084656,0.0046877717,0.016170755
unknown,10.25,0.0039561787,0.11055788,0.0044629606,0.047895305
unknown,10.083333015441895,0.004322907,0.10860597,0.0037565255,0.027808785
unknown,8.75,0.0045595467,0.108491324,0.0044284984,0.030232778
unknown,11.75,0.004529493,0.10921737,0.0046688244,0.023630625
unknown,16.91666603088379,0.007030087,0.10600727,0.007059526,0.03518138
unknown,12.583333015441895,0.003971847,0.10901691,0.004312515,0.035020184
unknown,5.916666507720947,0.0042787464,0.11167679,0.0040599904,0.029861556
unknown,11.666666984558105,0.004636598,0.10873669,0.004157337,0.037642017
unknown,7.416666507720947,0.004102102,0.108985655,0.0044537173,0.03525072
unknown,16.25,0.0050919577,0.10493445,0.0065006823,0.029066231
unknown,8.916666984558105,0.0044521834,0.10847739,0.0050664362,0.021288913
unknown,13.5,0.0042140656,0.10761828,0.004815784,0.04927772
unknown,5.916666507720947,0.0049584275,0.11103013,0.004843556,0.0258581
unknown,4.916666507720947,0.0043718624,0.10813641,0.018935028,0.022217408
unknown,12.166666984558105,0.003999272,0.10919911,0.004185133,0.022554517
unknown,8.416666984558105,0.0041017663,0.106966965,0.0036846916,0.017058609
unknown,11.083333015441895,0.0042250887,0.112147726,0.0042949333,0.027776027
unknown,6.666666507720947,0.0048877005,0.1102143,0.005523532,0.017441625
unknown,7.25,0.0041815294,0.10991578,0.003948045,0.015517476
unknown,13.0,0.004286225,0.10887607,0.0047542215,0.027921028
unknown,9.916666984558105,0.004440306,0.109074146,0.0047011483,0.0272268
unknown,8.5,0.0042694686,0.110406294,0.0037560635,0.028768253
unknown,14.416666984558105,0.0046064593,0.10766407,0.0047159903,0.02626969
unknown,4.0,0.0037105214,0.10890562,0.0035645454,0.033300724
unknown,13.25,0.004078936,0.10980362,0.0040799617,0.018453324
unknown,11.5,0.004349412,0.108351,0.004965728,0.029831188
unknown,12.916666984558105,0.0045073307,0.108402,0.0044164765,0.03023327
unknown,7.25,0.004344846,0.10917245,0.0050681126,0.02515782
unknown,7.416666507720947,0.004310506,0.10885502,0.005250574,0.015758134
unknown,8.083333015441895,0.004194166,0.10954915,0.004945888,0.018995354
unknown,13.583333015441895,0.004643562,0.107992336,0.00507263,0.013129984
unknown,6.0,0.0044374363,0.10824428,0.005604721,0.042518046
unknown,8.583333015441895,0.004187022,0.10883871,0.004176611,0.040163394
