epoch,train_loss,val_loss,val_mae,val_medae,val_r2,lr_pg3,lr_pg4,global_step,run
0,0.1424526870250702,0.13556577265262604,22.036190032958984,19.34375,0.010663509368896484,,,56,run1
1,0.12352386116981506,0.10521547496318817,17.618087768554688,16.75,0.3883954882621765,,,89,run1
2,0.08413916826248169,0.06416331231594086,11.524779319763184,8.934894561767578,0.6690817475318909,,,149,run1
3,0.06441166251897812,0.05196407437324524,9.632081985473633,6.71875,0.7409270405769348,,,227,run1
4,0.05768295004963875,0.04725862294435501,8.967976570129395,6.006000518798828,0.7701268196105957,,,229,run1
5,0.05434130132198334,0.0456467941403389,8.733932495117188,5.881000518798828,0.7879427671432495,,,319,run1
6,0.05276070535182953,0.043198730796575546,8.28594970703125,5.4375,0.7988776564598083,,,398,run1
7,0.051546860486269,0.043181080371141434,8.269922256469727,5.375,0.8050308227539062,,,429,run1
8,0.049844883382320404,0.041319720447063446,7.992544651031494,5.21875,0.8168069124221802,,,512,run1
9,0.04837149754166603,0.04292289912700653,8.2487211227417,5.53125,0.8103210926055908,,,519,run1
10,0.049148526042699814,0.04110381752252579,7.9310455322265625,5.53125,0.8202207088470459,,,626,run1
11,0.04691021889448166,0.040365103632211685,7.871397495269775,5.4237518310546875,0.8251603245735168,,,659,run1
12,0.04443911090493202,0.038862165063619614,7.628462791442871,5.15625,0.8311228156089783,,,719,run1
13,0.04331080615520477,0.0383567176759243,7.538947582244873,5.1796875,0.837455689907074,,,797,run1
14,0.041468728333711624,0.03622428700327873,7.222100257873535,4.852500915527344,0.847135066986084,,,829,run1
15,0.04137793183326721,0.038145098835229874,7.426146507263184,5.046875,0.8350325226783752,,,911,run1
16,0.03990933299064636,0.03497224673628807,6.977880954742432,4.589000701904297,0.8520467281341553,,,939,run1
17,0.04074709117412567,0.03502460941672325,6.925766944885254,4.609748840332031,0.8532052636146545,,,1025,run1
18,0.039225440472364426,0.03348083049058914,6.739764213562012,4.487998962402344,0.8609732389450073,,,1029,run1
19,0.0385519303381443,0.03369498997926712,6.769725322723389,4.5592498779296875,0.8586804270744324,,,1139,run1
20,0.038618020713329315,0.03549987077713013,7.1142964363098145,4.8125,0.8505153059959412,,,1179,run1
21,0.037505656480789185,0.03374756872653961,6.721972465515137,4.548427581787109,0.8609040379524231,,,1253,run1
22,0.036922793835401535,0.03432155027985573,6.884634017944336,4.53125,0.8584620952606201,,,1259,run1
23,0.03666400536894798,0.03305439278483391,6.672610282897949,4.5,0.8664558529853821,,,1367,run1
24,0.0358198806643486,0.03183552622795105,6.424031734466553,4.2637481689453125,0.8707765936851501,,,1399,run1
25,0.03525003418326378,0.035593729466199875,7.007198810577393,4.585426330566406,0.8493818044662476,,,1459,run1
26,0.03473135083913803,0.032460618764162064,6.651587009429932,4.265625,0.8661397099494934,,,1538,run1
27,0.035368412733078,0.03304686024785042,6.644426345825195,4.287250518798828,0.8646719455718994,,,1569,run1
28,0.03437412157654762,0.03286167234182358,6.586133003234863,4.46875,0.8632723093032837,,,1652,run1
29,0.03467045724391937,0.03635341674089432,7.308907508850098,4.84375,0.8482233285903931,,,1689,run1
30,0.03417101129889488,0.0318424329161644,6.539226055145264,4.34375,0.8728430271148682,,,1766,run1
31,0.0333365835249424,0.030936745926737785,6.338498592376709,4.253749847412109,0.87462317943573,,,1799,run1
32,0.03256026282906532,0.031306102871894836,6.367108345031738,4.15625,0.8762534856796265,,,1859,run1
33,0.03308078274130821,0.031485892832279205,6.413341045379639,4.0,0.8747515082359314,,,1937,run1
34,0.032662276178598404,0.03147818148136139,6.388287544250488,4.199748992919922,0.8749484419822693,,,1969,run1
35,0.03225294500589371,0.031154636293649673,6.442343711853027,4.265750885009766,0.8756498098373413,,,2029,run1
36,0.03187165781855583,0.030725974589586258,6.289078712463379,4.125,0.8792370557785034,,,2108,run1
37,0.03274070844054222,0.0318656750023365,6.489218235015869,4.28125,0.8747618198394775,,,2119,run1
38,0.03177478909492493,0.03007897548377514,6.18093204498291,3.96875,0.8832101821899414,,,2222,run1
39,0.03217504918575287,0.02961701899766922,6.16565465927124,4.03125,0.8858186602592468,,,2259,run1
40,0.03157595917582512,0.03042891062796116,6.22335958480835,4.0625,0.8803194761276245,,,2319,run1
41,0.03114367090165615,0.02948240004479885,6.074494361877441,3.9832763671875,0.8837406039237976,,,2393,run1
42,0.03180776908993721,0.02925112470984459,6.030905246734619,4.03125,0.8857976794242859,,,2429,run1
