trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
99,48,0.0,1.9800000000000004e-05,1.9800000000000004e-05,294.472505884,0.0,1778837037.1753683,,,,,,,,,,,,,,,,,,,,
99,49,0.0,1.9800000000000004e-05,1.9800000000000004e-05,295.143927464,0.0,1778837037.846807,,,,,,,,,,,,,,,,,,,,
99,50,0.0,1.9800000000000004e-05,1.9800000000000004e-05,295.814252573,0.0,1778837038.5172956,,,,,,,,,,,,,,,,,,,,
99,51,,,,296.484015637,,1778837039.1870875,1.0,0.13049180805683136,,,,,,,,,,,,,,,,,,
109,52,0.0,2.18e-05,2.18e-05,320.621467567,0.0,1778837063.324485,,,,,,,,,,,,,,,,,,,,
109,53,0.0,2.18e-05,2.18e-05,321.292546461,0.0,1778837063.9954195,,,,,,,,,,,,,,,,,,,,
109,54,0.0,2.18e-05,2.18e-05,321.963969954,0.0,1778837064.6668031,,,,,,,,,,,,,,,,,,,,
109,55,0.0,2.18e-05,2.18e-05,322.634384448,0.0,1778837065.3374197,,,,,,,,,,,,,,,,,,,,
109,56,,,,323.304785552,,1778837066.0078466,1.0,0.10352971404790878,,,,,,,,,,,,,,,,,,
113,57,,,,357.901120448,,1778837100.6039817,1.0,,0.12399744987487793,17.0625,0.0,0.12399744987487793,20.332359313964844,0.1335843801498413,,,,,,,,,,,,
113,58,,,,358.277639365,,1778837100.9804475,1.0,,,,,,,,0.0,0.1288660168647766,0.1288660168647766,21.03956413269043,0.0763777494430542,18.073257446289062,,,,,,
119,59,0.0,2.38e-05,2.38e-05,371.966009277,0.0,1778837114.6688435,,,,,,,,,,,,,,,,,,,,
119,60,0.0,2.38e-05,2.38e-05,372.638071381,0.0,1778837115.3410075,,,,,,,,,,,,,,,,,,,,
119,61,0.0,2.38e-05,2.38e-05,373.309934065,0.0,1778837116.0128522,,,,,,,,,,,,,,,,,,,,
119,62,0.0,2.38e-05,2.38e-05,373.981884682,0.0,1778837116.6848378,,,,,,,,,,,,,,,,,,,,
119,63,,,,374.654083301,,1778837117.3569498,2.0,0.13043390214443207,,,,,,,,,,,,,,,,,,
129,64,0.0,2.58e-05,2.58e-05,398.834811509,0.0,1778837141.5377123,,,,,,,,,,,,,,,,,,,,
129,65,0.0,2.58e-05,2.58e-05,399.506684558,0.0,1778837142.209585,,,,,,,,,,,,,,,,,,,,
129,66,0.0,2.58e-05,2.58e-05,400.178514082,0.0,1778837142.8814688,,,,,,,,,,,,,,,,,,,,
129,67,0.0,2.58e-05,2.58e-05,400.850257787,0.0,1778837143.5531473,,,,,,,,,,,,,,,,,,,,
129,68,,,,401.522057206,,1778837144.2249823,2.0,0.12027228623628616,,,,,,,,,,,,,,,,,,
139,69,0.0,2.7800000000000005e-05,2.7800000000000005e-05,425.67565341,0.0,1778837168.3784046,,,,,,,,,,,,,,,,,,,,
139,70,0.0,2.7800000000000005e-05,2.7800000000000005e-05,426.34698192,0.0,1778837169.049864,,,,,,,,,,,,,,,,,,,,
139,71,0.0,2.7800000000000005e-05,2.7800000000000005e-05,427.018293734,0.0,1778837169.7211726,,,,,,,,,,,,,,,,,,,,
139,72,0.0,2.7800000000000005e-05,2.7800000000000005e-05,427.689611007,0.0,1778837170.392495,,,,,,,,,,,,,,,,,,,,
139,73,,,,428.36155901,,1778837171.0644157,2.0,0.12384209036827087,,,,,,,,,,,,,,,,,,
149,74,0.0,2.98e-05,2.98e-05,452.515448023,0.0,1778837195.2182665,,,,,,,,,,,,,,,,,,,,
149,75,0.0,2.98e-05,2.98e-05,453.186921641,0.0,1778837195.8898108,,,,,,,,,,,,,,,,,,,,
149,76,0.0,2.98e-05,2.98e-05,453.858527698,0.0,1778837196.5614338,,,,,,,,,,,,,,,,,,,,
149,77,0.0,2.98e-05,2.98e-05,454.529855417,0.0,1778837197.2327523,,,,,,,,,,,,,,,,,,,,
149,78,,,,455.201621085,,1778837197.9045296,2.0,0.10194584727287292,,,,,,,,,,,,,,,,,,
159,79,0.0,3.18e-05,3.18e-05,479.354364832,0.0,1778837222.057174,,,,,,,,,,,,,,,,,,,,
159,80,0.0,3.18e-05,3.18e-05,480.025155532,0.0,1778837222.7281775,,,,,,,,,,,,,,,,,,,,
159,81,0.0,3.18e-05,3.18e-05,480.696098712,0.0,1778837223.3991604,,,,,,,,,,,,,,,,,,,,
159,82,0.0,3.18e-05,3.18e-05,481.367531699,0.0,1778837224.0704405,,,,,,,,,,,,,,,,,,,,
159,83,,,,482.039034201,,1778837224.7419152,2.0,0.09187088906764984,,,,,,,,,,,,,,,,,,
169,84,0.0,3.38e-05,3.38e-05,506.181016397,0.0,1778837248.883939,,,,,,,,,,,,,,,,,,,,
169,85,0.0,3.38e-05,3.38e-05,506.850701072,0.0,1778837249.5537498,,,,,,,,,,,,,,,,,,,,
169,86,0.0,3.38e-05,3.38e-05,507.52017453,0.0,1778837250.223226,,,,,,,,,,,,,,,,,,,,
169,87,0.0,3.38e-05,3.38e-05,508.190122531,0.0,1778837250.8931615,,,,,,,,,,,,,,,,,,,,
169,88,,,,508.859913006,,1778837251.5629406,2.0,0.07369069755077362,,,,,,,,,,,,,,,,,,
170,89,,,,535.472760112,,1778837278.1755989,2.0,,0.094319649040699,13.25,0.0,0.094319649040699,15.988503456115723,0.44246870279312134,,,,,,,,,,,,
170,90,,,,535.832335595,,1778837278.5351567,2.0,,,,,,,,0.0,0.11108169704675674,0.11108169704675674,18.441076278686523,0.2813152074813843,15.78125,,,,,,
179,91,0.0,3.58e-05,3.58e-05,557.606881085,0.0,1778837300.3097532,,,,,,,,,,,,,,,,,,,,
179,92,0.0,3.58e-05,3.58e-05,558.278481754,0.0,1778837300.9813306,,,,,,,,,,,,,,,,,,,,
179,93,0.0,3.58e-05,3.58e-05,558.948510127,0.0,1778837301.6515145,,,,,,,,,,,,,,,,,,,,
179,94,0.0,3.58e-05,3.58e-05,559.619788882,0.0,1778837302.3226433,,,,,,,,,,,,,,,,,,,,
179,95,,,,560.291167857,,1778837302.994245,3.0,0.09850708395242691,,,,,,,,,,,,,,,,,,
189,96,0.0,3.7800000000000004e-05,3.7800000000000004e-05,584.430139857,0.0,1778837327.1329632,,,,,,,,,,,,,,,,,,,,
189,97,0.0,3.7800000000000004e-05,3.7800000000000004e-05,585.100595673,0.0,1778837327.8035982,,,,,,,,,,,,,,,,,,,,
189,98,0.0,3.7800000000000004e-05,3.7800000000000004e-05,585.770843195,0.0,1778837328.4738858,,,,,,,,,,,,,,,,,,,,
189,99,0.0,3.7800000000000004e-05,3.7800000000000004e-05,586.442707652,0.0,1778837329.145535,,,,,,,,,,,,,,,,,,,,
189,100,,,,587.114379778,,1778837329.817232,3.0,0.09477325528860092,,,,,,,,,,,,,,,,,,
199,101,0.0,3.9800000000000005e-05,3.9800000000000005e-05,611.254481958,0.0,1778837353.9573176,,,,,,,,,,,,,,,,,,,,
199,102,0.0,3.9800000000000005e-05,3.9800000000000005e-05,611.925134019,0.0,1778837354.6280863,,,,,,,,,,,,,,,,,,,,
199,103,0.0,3.9800000000000005e-05,3.9800000000000005e-05,612.594857873,0.0,1778837355.2979095,,,,,,,,,,,,,,,,,,,,
199,104,0.0,3.9800000000000005e-05,3.9800000000000005e-05,613.26630447,0.0,1778837355.9692032,,,,,,,,,,,,,,,,,,,,
199,105,,,,613.938405483,,1778837356.6412709,3.0,0.08501855283975601,,,,,,,,,,,,,,,,,,
209,106,0.0,4.18e-05,4.18e-05,638.070459516,0.0,1778837380.7732852,,,,,,,,,,,,,,,,,,,,
209,107,0.0,4.18e-05,4.18e-05,638.740404663,0.0,1778837381.4434555,,,,,,,,,,,,,,,,,,,,
209,108,0.0,4.18e-05,4.18e-05,639.410414157,0.0,1778837382.1134698,,,,,,,,,,,,,,,,,,,,
