lr-AdamW/pg4,_runtime,val/recon_loss,epoch,lr-AdamW/pg1,test/recon_loss,val/mae,train/r2,train/loss_step,val/r2,val/medae,train/age_loss,train/loss_epoch,trainer/global_step,train/mae,train/medae,lr-AdamW/pg3,test/age_loss,train/recon_loss,val/age_loss,_timestamp,lr-AdamW/pg2,test/medae,test/r2,test/mae,val/loss,_step,test/loss
0.0,310.805301327,,,1.9800000000000004e-05,,,,,,,,,99,,,0.0,,,,1779873896.9581265,1.9800000000000004e-05,,,,,48,
0.0,311.476124018,,,1.9800000000000004e-05,,,,,,,,,99,,,0.0,,,,1779873897.6290116,1.9800000000000004e-05,,,,,49,
0.0,312.147092908,,,1.9800000000000004e-05,,,,,,,,,99,,,0.0,,,,1779873898.2999163,1.9800000000000004e-05,,,,,50,
,312.817870952,,1.0,,,,,0.11970655620098114,,,,,99,,,,,,,1779873898.970737,,,,,,51,
0.0,336.955975902,,,2.18e-05,,,,,,,,,109,,,0.0,,,,1779873923.1087577,2.18e-05,,,,,52,
0.0,337.626727667,,,2.18e-05,,,,,,,,,109,,,0.0,,,,1779873923.779616,2.18e-05,,,,,53,
0.0,338.297664329,,,2.18e-05,,,,,,,,,109,,,0.0,,,,1779873924.4505436,2.18e-05,,,,,54,
0.0,338.968945689,,,2.18e-05,,,,,,,,,109,,,0.0,,,,1779873925.121802,2.18e-05,,,,,55,
,339.639637824,,1.0,,,,,0.09574028849601746,,,,,109,,,,,,,1779873925.792515,,,,,,56,
,374.264455183,0.0,1.0,,,17.618087768554688,,,0.3883954882621765,16.75,,,113,,,,,,0.10521547496318817,1779873960.41718,,,,,0.10521547496318817,57,
,374.600366354,,1.0,,,,0.17825055122375488,,,,0.12352386116981506,0.12352386116981506,113,20.276824951171875,18.25,,,0.0,,1779873960.7531815,,,,,,58,
0.0,388.273877414,,,2.38e-05,,,,,,,,,119,,,0.0,,,,1779873974.4266691,2.38e-05,,,,,59,
0.0,388.9436904,,,2.38e-05,,,,,,,,,119,,,0.0,,,,1779873975.09669,2.38e-05,,,,,60,
0.0,389.614830979,,,2.38e-05,,,,,,,,,119,,,0.0,,,,1779873975.7677634,2.38e-05,,,,,61,
0.0,390.28565966,,,2.38e-05,,,,,,,,,119,,,0.0,,,,1779873976.4385643,2.38e-05,,,,,62,
,390.95682127,,2.0,,,,,0.10967279970645905,,,,,119,,,,,,,1779873977.1096873,,,,,,63,
0.0,415.089349305,,,2.58e-05,,,,,,,,,129,,,0.0,,,,1779874001.2421055,2.58e-05,,,,,64,
0.0,415.759384114,,,2.58e-05,,,,,,,,,129,,,0.0,,,,1779874001.9124217,2.58e-05,,,,,65,
0.0,416.430496961,,,2.58e-05,,,,,,,,,129,,,0.0,,,,1779874002.5833979,2.58e-05,,,,,66,
0.0,417.101376839,,,2.58e-05,,,,,,,,,129,,,0.0,,,,1779874003.2542493,2.58e-05,,,,,67,
,417.772606342,,2.0,,,,,0.08282174170017242,,,,,129,,,,,,,1779874003.9254973,,,,,,68,
0.0,441.904540685,,,2.7800000000000005e-05,,,,,,,,,139,,,0.0,,,,1779874028.057348,2.7800000000000005e-05,,,,,69,
0.0,442.57420607,,,2.7800000000000005e-05,,,,,,,,,139,,,0.0,,,,1779874028.727184,2.7800000000000005e-05,,,,,70,
0.0,443.245521422,,,2.7800000000000005e-05,,,,,,,,,139,,,0.0,,,,1779874029.398431,2.7800000000000005e-05,,,,,71,
0.0,443.91654813,,,2.7800000000000005e-05,,,,,,,,,139,,,0.0,,,,1779874030.0694256,2.7800000000000005e-05,,,,,72,
,444.587958495,,2.0,,,,,0.09303124248981476,,,,,139,,,,,,,1779874030.7408245,,,,,,73,
0.0,468.719572056,,,2.98e-05,,,,,,,,,149,,,0.0,,,,1779874054.8723855,2.98e-05,,,,,74,
0.0,469.389389579,,,2.98e-05,,,,,,,,,149,,,0.0,,,,1779874055.5424435,2.98e-05,,,,,75,
0.0,470.060786253,,,2.98e-05,,,,,,,,,149,,,0.0,,,,1779874056.2136366,2.98e-05,,,,,76,
0.0,470.731559442,,,2.98e-05,,,,,,,,,149,,,0.0,,,,1779874056.8844237,2.98e-05,,,,,77,
,471.402827744,,2.0,,,,,0.06238504499197006,,,,,149,,,,,,,1779874057.5557048,,,,,,78,
0.0,495.533591969,,,3.18e-05,,,,,,,,,159,,,0.0,,,,1779874081.6864438,3.18e-05,,,,,79,
0.0,496.203685286,,,3.18e-05,,,,,,,,,159,,,0.0,,,,1779874082.3566933,3.18e-05,,,,,80,
0.0,496.874851215,,,3.18e-05,,,,,,,,,159,,,0.0,,,,1779874083.0277324,3.18e-05,,,,,81,
0.0,497.545652466,,,3.18e-05,,,,,,,,,159,,,0.0,,,,1779874083.6985195,3.18e-05,,,,,82,
,498.217171845,,2.0,,,,,0.06978509575128555,,,,,159,,,,,,,1779874084.370021,,,,,,83,
0.0,522.33883367,,,3.38e-05,,,,,,,,,169,,,0.0,,,,1779874108.4916234,3.38e-05,,,,,84,
0.0,523.008344703,,,3.38e-05,,,,,,,,,169,,,0.0,,,,1779874109.1613157,3.38e-05,,,,,85,
0.0,523.677542957,,,3.38e-05,,,,,,,,,169,,,0.0,,,,1779874109.830585,3.38e-05,,,,,86,
0.0,524.347071987,,,3.38e-05,,,,,,,,,169,,,0.0,,,,1779874110.5000563,3.38e-05,,,,,87,
,525.016935049,,2.0,,,,,0.05299714207649231,,,,,169,,,,,,,1779874111.1700106,,,,,,88,
,551.533936413,0.0,2.0,,,11.524779319763184,,,0.6690817475318909,8.934894561767578,,,170,,,,,,0.06416331231594086,1779874137.686506,,,,,0.06416331231594086,89,
,551.905694992,,2.0,,,,0.5275712013244629,,,,0.08413916826248169,0.08413916826248169,170,14.489864349365234,12.014823913574219,,,0.0,,1779874138.0584514,,,,,,90,
0.0,573.691781322,,,3.58e-05,,,,,,,,,179,,,0.0,,,,1779874159.8446403,3.58e-05,,,,,91,
0.0,574.36245328,,,3.58e-05,,,,,,,,,179,,,0.0,,,,1779874160.5153124,3.58e-05,,,,,92,
0.0,575.03326068,,,3.58e-05,,,,,,,,,179,,,0.0,,,,1779874161.1861734,3.58e-05,,,,,93,
0.0,575.704543065,,,3.58e-05,,,,,,,,,179,,,0.0,,,,1779874161.857409,3.58e-05,,,,,94,
,576.373964103,,3.0,,,,,0.07872862368822098,,,,,179,,,,,,,1779874162.527025,,,,,,95,
0.0,600.503110237,,,3.7800000000000004e-05,,,,,,,,,189,,,0.0,,,,1779874186.6559772,3.7800000000000004e-05,,,,,96,
0.0,601.174476257,,,3.7800000000000004e-05,,,,,,,,,189,,,0.0,,,,1779874187.3273425,3.7800000000000004e-05,,,,,97,
0.0,601.845695506,,,3.7800000000000004e-05,,,,,,,,,189,,,0.0,,,,1779874187.9985418,3.7800000000000004e-05,,,,,98,
0.0,602.516547354,,,3.7800000000000004e-05,,,,,,,,,189,,,0.0,,,,1779874188.6693974,3.7800000000000004e-05,,,,,99,
,603.187875437,,3.0,,,,,0.08419328927993774,,,,,189,,,,,,,1779874189.3407667,,,,,,100,
0.0,627.327755811,,,3.9800000000000005e-05,,,,,,,,,199,,,0.0,,,,1779874213.4805875,3.9800000000000005e-05,,,,,101,
0.0,627.99916755,,,3.9800000000000005e-05,,,,,,,,,199,,,0.0,,,,1779874214.1520727,3.9800000000000005e-05,,,,,102,
0.0,628.670388623,,,3.9800000000000005e-05,,,,,,,,,199,,,0.0,,,,1779874214.823275,3.9800000000000005e-05,,,,,103,
0.0,629.341764217,,,3.9800000000000005e-05,,,,,,,,,199,,,0.0,,,,1779874215.4946115,3.9800000000000005e-05,,,,,104,
,630.012735895,,3.0,,,,,0.05977402254939079,,,,,199,,,,,,,1779874216.1657047,,,,,,105,
0.0,654.155325608,,,4.18e-05,,,,,,,,,209,,,0.0,,,,1779874240.3081508,4.18e-05,,,,,106,
0.0,654.826487813,,,4.18e-05,,,,,,,,,209,,,0.0,,,,1779874240.9793777,4.18e-05,,,,,107,
0.0,655.500731555,,,4.18e-05,,,,,,,,,209,,,0.0,,,,1779874241.653596,4.18e-05,,,,,108,
0.0,656.172045017,,,4.18e-05,,,,,,,,,209,,,0.0,,,,1779874242.3248723,4.18e-05,,,,,109,
,656.843866131,,3.0,,,,,0.05893296003341675,,,,,209,,,,,,,1779874242.99672,,,,,,110,
0.0,680.977314264,,,4.38e-05,,,,,,,,,219,,,0.0,,,,1779874267.1301258,4.38e-05,,,,,111,
0.0,681.648170549,,,4.38e-05,,,,,,,,,219,,,0.0,,,,1779874267.801006,4.38e-05,,,,,112,
0.0,682.3191839,,,4.38e-05,,,,,,,,,219,,,0.0,,,,1779874268.4719942,4.38e-05,,,,,113,
0.0,682.989915298,,,4.38e-05,,,,,,,,,219,,,0.0,,,,1779874269.1429036,4.38e-05,,,,,114,
,683.660946305,,3.0,,,,,0.053717758506536484,,,,,219,,,,,,,1779874269.813822,,,,,,115,
,729.03533513,0.0,3.0,,,9.632081985473633,,,0.7409270405769348,6.71875,,,227,,,,,,0.05196407437324524,1779874315.1880956,,,,,0.05196407437324524,116,
,729.688729901,,3.0,,,,0.660794734954834,,,,0.06441166251897812,0.06441166251897812,227,11.530020713806152,8.43075180053711,,,0.0,,1779874315.8415654,,,,,,117,
0.0,732.606471138,,,4.58e-05,,,,,,,,,229,,,0.0,,,,1779874318.759012,4.58e-05,,,,,118,
0.0,733.277914806,,,4.58e-05,,,,,,,,,229,,,0.0,,,,1779874319.4307344,4.58e-05,,,,,119,
0.0,733.949295829,,,4.58e-05,,,,,,,,,229,,,0.0,,,,1779874320.1021023,4.58e-05,,,,,120,
0.0,734.621164395,,,4.58e-05,,,,,,,,,229,,,0.0,,,,1779874320.774035,4.58e-05,,,,,121,
,735.293195345,,4.0,,,,,0.04777144640684128,,,,,229,,,,,,,1779874321.446029,,,,,,122,
0.0,759.44562975,,,4.78e-05,,,,,,,,,239,,,0.0,,,,1779874345.5983677,4.78e-05,,,,,123,
0.0,760.116103292,,,4.78e-05,,,,,,,,,239,,,0.0,,,,1779874346.2689524,4.78e-05,,,,,124,
0.0,760.786268299,,,4.78e-05,,,,,,,,,239,,,0.0,,,,1779874346.9392405,4.78e-05,,,,,125,
0.0,761.456262861,,,4.78e-05,,,,,,,,,239,,,0.0,,,,1779874347.609143,4.78e-05,,,,,126,
,762.127564346,,4.0,,,,,0.06046085059642792,,,,,239,,,,,,,1779874348.2804022,,,,,,127,
0.0,786.264366059,,,4.9800000000000004e-05,,,,,,,,,249,,,0.0,,,,1779874372.4170842,4.9800000000000004e-05,,,,,128,
0.0,786.935334816,,,4.9800000000000004e-05,,,,,,,,,249,,,0.0,,,,1779874373.0881963,4.9800000000000004e-05,,,,,129,
0.0,787.605695481,,,4.9800000000000004e-05,,,,,,,,,249,,,0.0,,,,1779874373.7586985,4.9800000000000004e-05,,,,,130,
0.0,788.276822576,,,4.9800000000000004e-05,,,,,,,,,249,,,0.0,,,,1779874374.4297187,4.9800000000000004e-05,,,,,131,
,788.94792269,,4.0,,,,,0.07816478610038757,,,,,249,,,,,,,1779874375.1007843,,,,,,132,
0.0,813.081905046,,,5.1800000000000005e-05,,,,,,,,,259,,,0.0,,,,1779874399.234681,5.1800000000000005e-05,,,,,133,
0.0,813.75302334,,,5.1800000000000005e-05,,,,,,,,,259,,,0.0,,,,1779874399.9058728,5.1800000000000005e-05,,,,,134,
0.0,814.42349277,,,5.1800000000000005e-05,,,,,,,,,259,,,0.0,,,,1779874400.576472,5.1800000000000005e-05,,,,,135,
0.0,815.094419226,,,5.1800000000000005e-05,,,,,,,,,259,,,0.0,,,,1779874401.247315,5.1800000000000005e-05,,,,,136,
,815.765685492,,4.0,,,,,0.06932555139064789,,,,,259,,,,,,,1779874401.9185214,,,,,,137,
0.0,839.897398361,,,5.380000000000001e-05,,,,,,,,,269,,,0.0,,,,1779874426.05016,5.380000000000001e-05,,,,,138,
0.0,840.568584329,,,5.380000000000001e-05,,,,,,,,,269,,,0.0,,,,1779874426.721434,5.380000000000001e-05,,,,,139,
0.0,841.239213741,,,5.380000000000001e-05,,,,,,,,,269,,,0.0,,,,1779874427.392191,5.380000000000001e-05,,,,,140,
0.0,841.910298627,,,5.380000000000001e-05,,,,,,,,,269,,,0.0,,,,1779874428.0631216,5.380000000000001e-05,,,,,141,
,842.58132752,,4.0,,,,,0.06298737227916718,,,,,269,,,,,,,1779874428.7342262,,,,,,142,
0.0,866.720618864,,,5.580000000000001e-05,,,,,,,,,279,,,0.0,,,,1779874452.873376,5.580000000000001e-05,,,,,143,
0.0,867.391818344,,,5.580000000000001e-05,,,,,,,,,279,,,0.0,,,,1779874453.5446737,5.580000000000001e-05,,,,,144,
0.0,868.062404544,,,5.580000000000001e-05,,,,,,,,,279,,,0.0,,,,1779874454.215398,5.580000000000001e-05,,,,,145,
0.0,868.734234551,,,5.580000000000001e-05,,,,,,,,,279,,,0.0,,,,1779874454.8870964,5.580000000000001e-05,,,,,146,
,869.405741393,,4.0,,,,,0.04786433279514313,,,,,279,,,,,,,1779874455.558653,,,,,,147,
,906.724425303,0.0,4.0,,,8.967976570129395,,,0.7701268196105957,6.006000518798828,,,284,,,,,,0.04725862294435501,1779874492.877163,,,,,0.04725862294435501,148,
,907.135683899,,4.0,,,,0.7050561904907227,,,,0.05768295004963875,0.05768295004963875,284,10.503195762634277,7.390625,,,0.0,,1779874493.2885215,,,,,,149,
0.0,918.168413886,,,5.7799999999999995e-05,,,,,,,,,289,,,0.0,,,,1779874504.3212693,5.7799999999999995e-05,,,,,150,
0.0,918.839494482,,,5.7799999999999995e-05,,,,,,,,,289,,,0.0,,,,1779874504.9923196,5.7799999999999995e-05,,,,,151,
0.0,919.510181107,,,5.7799999999999995e-05,,,,,,,,,289,,,0.0,,,,1779874505.6630177,5.7799999999999995e-05,,,,,152,
0.0,920.180758588,,,5.7799999999999995e-05,,,,,,,,,289,,,0.0,,,,1779874506.3336291,5.7799999999999995e-05,,,,,153,
,920.851846956,,5.0,,,,,0.04803851619362831,,,,,289,,,,,,,1779874507.0047383,,,,,,154,
0.0,944.973940412,,,5.9800000000000003e-05,,,,,,,,,299,,,0.0,,,,1779874531.1267965,5.9800000000000003e-05,,,,,155,
0.0,945.645405367,,,5.9800000000000003e-05,,,,,,,,,299,,,0.0,,,,1779874531.7982006,5.9800000000000003e-05,,,,,156,
0.0,946.314802108,,,5.9800000000000003e-05,,,,,,,,,299,,,0.0,,,,1779874532.4678397,5.9800000000000003e-05,,,,,157,
