run,metric,epochs,start,end,delta
random_init,val_mae,5,22.877126693725586,21.25615692138672,-1.6209697723388672
random_init,val_medae,5,20.28125,18.484375,-1.796875
random_init,val_r2,5,-0.06094622611999512,0.09853076934814453,0.15947699546813965
random_init,val_loss,5,0.1413579136133194,0.13023608922958374,-0.011121824383735657
random_init,val_mae,10,22.877126693725586,20.46393585205078,-2.4131908416748047
random_init,val_medae,10,20.28125,17.375,-2.90625
random_init,val_r2,10,-0.06094622611999512,0.12971198558807373,0.19065821170806885
random_init,val_loss,10,0.1413579136133194,0.12483888119459152,-0.016519032418727875
random_init,val_mae,20,22.877126693725586,18.161884307861328,-4.715242385864258
random_init,val_medae,20,20.28125,13.0,-7.28125
random_init,val_r2,20,-0.06094622611999512,0.15872782468795776,0.21967405080795288
random_init,val_loss,20,0.1413579136133194,0.11001035571098328,-0.03134755790233612
random_init,val_mae,50,22.877126693725586,16.75331687927246,-6.123809814453125
random_init,val_medae,50,20.28125,11.756332397460938,-8.524917602539062
random_init,val_r2,50,-0.06094622611999512,0.2905448079109192,0.3514910340309143
random_init,val_loss,50,0.1413579136133194,0.09965278953313828,-0.04170512408018112
pretrained,val_mae,5,22.036190032958984,8.733932495117188,-13.302257537841797
pretrained,val_medae,5,19.34375,5.881000518798828,-13.462749481201172
pretrained,val_r2,5,0.010663509368896484,0.7879427671432495,0.777279257774353
pretrained,val_loss,5,0.13556577265262604,0.0456467941403389,-0.08991897851228714
pretrained,val_mae,10,22.036190032958984,7.9310455322265625,-14.105144500732422
pretrained,val_medae,10,19.34375,5.53125,-13.8125
pretrained,val_r2,10,0.010663509368896484,0.8202207088470459,0.8095571994781494
pretrained,val_loss,10,0.13556577265262604,0.04110381752252579,-0.09446195513010025
pretrained,val_mae,20,22.036190032958984,7.1142964363098145,-14.92189359664917
pretrained,val_medae,20,19.34375,4.8125,-14.53125
pretrained,val_r2,20,0.010663509368896484,0.8505153059959412,0.8398517966270447
pretrained,val_loss,20,0.13556577265262604,0.03549987077713013,-0.10006590187549591
pretrained,val_mae,50,22.036190032958984,6.143046855926514,-15.89314317703247
pretrained,val_medae,50,19.34375,4.296875,-15.046875
pretrained,val_r2,50,0.010663509368896484,0.886545717716217,0.8758822083473206
pretrained,val_loss,50,0.13556577265262604,0.029678640887141228,-0.10588713176548481
