epoch,train_loss,val_loss,val_mae,val_medae,val_r2,lr_pg3,lr_pg4,run
0,0.1424526870250702,0.13556577265262604,22.036190032958984,19.34375,0.010663509368896484,,,pretrained
1,0.12352386116981506,0.10521547496318817,17.618087768554688,16.75,0.3883954882621765,,,pretrained
2,0.08413916826248169,0.06416331231594086,11.524779319763184,8.934894561767578,0.6690817475318909,,,pretrained
3,0.06441166251897812,0.05196407437324524,9.632081985473633,6.71875,0.7409270405769348,,,pretrained
4,0.05768295004963875,0.04725862294435501,8.967976570129395,6.006000518798828,0.7701268196105957,,,pretrained
5,0.05434130132198334,0.0456467941403389,8.733932495117188,5.881000518798828,0.7879427671432495,,,pretrained
6,0.05276070535182953,0.043198730796575546,8.28594970703125,5.4375,0.7988776564598083,,,pretrained
7,0.051546860486269,0.043181080371141434,8.269922256469727,5.375,0.8050308227539062,,,pretrained
8,0.049844883382320404,0.041319720447063446,7.992544651031494,5.21875,0.8168069124221802,,,pretrained
9,0.04837149754166603,0.04292289912700653,8.2487211227417,5.53125,0.8103210926055908,,,pretrained
10,0.049148526042699814,0.04110381752252579,7.9310455322265625,5.53125,0.8202207088470459,,,pretrained
11,0.04691021889448166,0.040365103632211685,7.871397495269775,5.4237518310546875,0.8251603245735168,,,pretrained
12,0.04443911090493202,0.038862165063619614,7.628462791442871,5.15625,0.8311228156089783,,,pretrained
13,0.04331080615520477,0.0383567176759243,7.538947582244873,5.1796875,0.837455689907074,,,pretrained
14,0.041468728333711624,0.03622428700327873,7.222100257873535,4.852500915527344,0.847135066986084,,,pretrained
15,0.04137793183326721,0.038145098835229874,7.426146507263184,5.046875,0.8350325226783752,,,pretrained
16,0.03990933299064636,0.03497224673628807,6.977880954742432,4.589000701904297,0.8520467281341553,,,pretrained
17,0.04074709117412567,0.03502460941672325,6.925766944885254,4.609748840332031,0.8532052636146545,,,pretrained
18,0.039225440472364426,0.03348083049058914,6.739764213562012,4.487998962402344,0.8609732389450073,,,pretrained
19,0.0385519303381443,0.03369498997926712,6.769725322723389,4.5592498779296875,0.8586804270744324,,,pretrained
20,0.038618020713329315,0.03549987077713013,7.1142964363098145,4.8125,0.8505153059959412,,,pretrained
21,0.037505656480789185,0.03374756872653961,6.721972465515137,4.548427581787109,0.8609040379524231,,,pretrained
22,0.036922793835401535,0.03432155027985573,6.884634017944336,4.53125,0.8584620952606201,,,pretrained
23,0.03666400536894798,0.03305439278483391,6.672610282897949,4.5,0.8664558529853821,,,pretrained
24,0.0358198806643486,0.03183552622795105,6.424031734466553,4.2637481689453125,0.8707765936851501,,,pretrained
25,0.03525003418326378,0.035593729466199875,7.007198810577393,4.585426330566406,0.8493818044662476,,,pretrained
26,0.03473135083913803,0.032460618764162064,6.651587009429932,4.265625,0.8661397099494934,,,pretrained
27,0.035368412733078,0.03304686024785042,6.644426345825195,4.287250518798828,0.8646719455718994,,,pretrained
28,0.03437412157654762,0.03286167234182358,6.586133003234863,4.46875,0.8632723093032837,,,pretrained
29,0.03467045724391937,0.03635341674089432,7.308907508850098,4.84375,0.8482233285903931,,,pretrained
30,0.03417101129889488,0.0318424329161644,6.539226055145264,4.34375,0.8728430271148682,,,pretrained
31,0.0333365835249424,0.030936745926737785,6.338498592376709,4.253749847412109,0.87462317943573,,,pretrained
32,0.03256026282906532,0.031306102871894836,6.367108345031738,4.15625,0.8762534856796265,,,pretrained
33,0.03308078274130821,0.031485892832279205,6.413341045379639,4.0,0.8747515082359314,,,pretrained
34,0.032662276178598404,0.03147818148136139,6.388287544250488,4.199748992919922,0.8749484419822693,,,pretrained
35,0.03225294500589371,0.031154636293649673,6.442343711853027,4.265750885009766,0.8756498098373413,,,pretrained
36,0.03187165781855583,0.030725974589586258,6.289078712463379,4.125,0.8792370557785034,,,pretrained
37,0.03274070844054222,0.0318656750023365,6.489218235015869,4.28125,0.8747618198394775,,,pretrained
38,0.03177478909492493,0.03007897548377514,6.18093204498291,3.96875,0.8832101821899414,,,pretrained
39,0.03217504918575287,0.02961701899766922,6.16565465927124,4.03125,0.8858186602592468,,,pretrained
40,0.03157595917582512,0.03042891062796116,6.22335958480835,4.0625,0.8803194761276245,,,pretrained
41,0.03114367090165615,0.02948240004479885,6.074494361877441,3.9832763671875,0.8837406039237976,,,pretrained
42,0.03180776908993721,0.02925112470984459,6.030905246734619,4.03125,0.8857976794242859,,,pretrained
43,0.030413063243031502,0.03013486973941326,6.178191661834717,4.0078125,0.8810967803001404,,,pretrained
44,0.03048095293343067,0.029913850128650665,6.12494421005249,3.90625,0.8831489682197571,,,pretrained
45,0.030201958492398262,0.029202977195382118,6.04546594619751,3.984375,0.8867081999778748,,,pretrained
46,0.030175402760505676,0.029647134244441986,6.091414928436279,4.125,0.8854210376739502,,,pretrained
47,0.030229642987251282,0.029100706800818443,6.064393043518066,3.9107208251953125,0.884654700756073,,,pretrained
48,0.02976238541305065,0.029301386326551437,6.05083703994751,4.015625,0.8861095905303955,,,pretrained
49,0.029589813202619553,0.03152463212609291,6.380225658416748,4.09375,0.8740984201431274,,,pretrained
50,0.02998519130051136,0.029678640887141228,6.143046855926514,4.296875,0.886545717716217,,,pretrained
51,0.028874516487121582,0.029299059882760048,6.091928482055664,4.005001068115234,0.8862950205802917,,,pretrained
52,0.029574008658528328,0.028828199952840805,6.0393571853637695,3.8125,0.888957679271698,,,pretrained
53,0.029031869024038315,0.0285484679043293,5.925799369812012,3.8255233764648438,0.8904372453689575,,,pretrained
54,0.028965437784790993,0.03399214148521423,6.780040740966797,4.5,0.8630974292755127,,,pretrained
55,0.028611160814762115,0.029136624187231064,6.027092933654785,4.0625,0.8867613673210144,,,pretrained
56,0.028365233913064003,0.028745923191308975,6.002752304077148,3.875,0.890465259552002,,,pretrained
57,0.0285054761916399,0.028664635494351387,6.0257248878479,4.09375,0.8912608623504639,,,pretrained
58,0.027506111189723015,0.028428373858332634,5.891254901885986,3.78125,0.8908088803291321,,,pretrained
59,0.02807823196053505,0.02848071977496147,5.955117702484131,3.9375,0.8914127349853516,,,pretrained
60,0.02823820523917675,0.029509607702493668,6.0845770835876465,4.09375,0.8874624371528625,,,pretrained
61,0.027860527858138084,0.028366941958665848,5.911596298217773,4.0,0.8927946090698242,,,pretrained
62,0.027669910341501236,0.028111962601542473,5.891057014465332,4.0,0.8943040370941162,,,pretrained
63,0.027417881414294243,0.02796253375709057,5.868658065795898,4.09375,0.8954921960830688,,,pretrained
64,0.027166573330760002,0.028109710663557053,5.866749286651611,3.78125,0.8943019509315491,,,pretrained
65,0.027231061831116676,0.027665700763463974,5.7886247634887695,3.796875,0.8964672088623047,,,pretrained
66,0.027558494359254837,0.02794610895216465,5.838128566741943,3.9724998474121094,0.8951753973960876,,,pretrained
67,0.027357079088687897,0.027894871309399605,5.850154399871826,3.7970008850097656,0.8965018391609192,,,pretrained
68,0.0269644595682621,0.029658494517207146,6.100738048553467,4.03125,0.8868647217750549,,,pretrained
69,0.027392283082008362,0.028696978464722633,5.949151039123535,3.90625,0.8917902708053589,,,pretrained
70,0.026739493012428284,0.027877826243638992,5.8529887199401855,4.0390625,0.8961265087127686,,,pretrained
71,0.026754939928650856,0.0282434094697237,5.883769512176514,4.0,0.8954142332077026,,,pretrained
72,0.026774099096655846,0.027841737493872643,5.818500518798828,3.90625,0.896145224571228,,,pretrained
73,0.026144439354538918,0.028072873130440712,5.9038987159729,3.961456298828125,0.8953741788864136,,,pretrained
74,0.026948045939207077,0.02933846041560173,6.065811634063721,4.125,0.8893598318099976,,,pretrained
75,0.026517311111092567,0.02743828482925892,5.839698791503906,3.625,0.8977462649345398,,,pretrained
76,0.02582733705639839,0.02815919928252697,5.908077716827393,3.9375,0.8941441774368286,,,pretrained
77,0.02532721310853958,0.027969500049948692,5.8365325927734375,3.8125,0.895657479763031,,,pretrained
78,0.02560327760875225,0.027791842818260193,5.805324554443359,3.75,0.8947963714599609,,,pretrained
79,0.025834275409579277,0.0275562796741724,5.863205909729004,3.984375,0.897977888584137,,,pretrained
80,0.026036877185106277,0.02735164575278759,5.7689924240112305,3.8470001220703125,0.8989906311035156,,,pretrained
81,0.025795215740799904,0.027531789615750313,5.769606590270996,3.7729263305664062,0.897649884223938,,,pretrained
82,0.025592828169465065,0.02777799218893051,5.877232074737549,4.0,0.8967660665512085,,,pretrained
83,0.025161609053611755,0.02788621559739113,5.874821662902832,3.9375,0.8960965275764465,,,pretrained
84,0.024721000343561172,0.02823672816157341,5.897719383239746,3.84375,0.8927319049835205,,,pretrained
85,0.02504107728600502,0.027612363919615746,5.829541206359863,4.096466064453125,0.8973751068115234,,,pretrained
86,0.025243369862437248,0.026669858023524284,5.657482624053955,3.903644561767578,0.9016257524490356,,,pretrained
87,0.025277409702539444,0.027028100565075874,5.741784572601318,3.833984375,0.9001757502555847,,,pretrained
88,0.02507113106548786,0.027934273704886436,5.865410327911377,3.875,0.895108163356781,,,pretrained
89,0.024893399327993393,0.027467915788292885,5.7488555908203125,3.8470001220703125,0.8981021642684937,,,pretrained
90,0.02421944960951805,0.02733757719397545,5.769612789154053,3.8245010375976562,0.8993957042694092,,,pretrained
91,0.02450241893529892,0.026539238169789314,5.630677700042725,3.65625,0.9018099904060364,,,pretrained
92,0.024748364463448524,0.028445085510611534,5.920652866363525,4.0,0.8918792009353638,,,pretrained
93,0.024720748886466026,0.027574041858315468,5.7933831214904785,3.9375,0.8972111344337463,,,pretrained
94,0.024852899834513664,0.028246451169252396,5.905619144439697,4.130208969116211,0.8961105346679688,,,pretrained
95,0.02429358847439289,0.028472701087594032,6.008579254150391,4.0234375,0.8949007987976074,,,pretrained
96,0.023907514289021492,0.027466166764497757,5.813328266143799,3.9442367553710938,0.8994281888008118,,,pretrained
97,0.02407069131731987,0.02695191092789173,5.719052791595459,3.84375,0.9011403918266296,,,pretrained
98,0.02380981855094433,0.026789791882038116,5.660319805145264,3.875,0.9023674726486206,,,pretrained
99,0.023837735876441002,0.026774542406201363,5.715612888336182,3.828125,0.9027489423751831,,,pretrained
100,0.024104265496134758,0.02725186012685299,5.727232456207275,3.875,0.8992862701416016,,,pretrained
101,0.023600604385137558,0.02709454670548439,5.71890115737915,3.90625,0.8994996547698975,,,pretrained
102,0.024060769006609917,0.027309833094477654,5.764421463012695,3.9185028076171875,0.9005500078201294,,,pretrained
103,0.02381790801882744,0.027044689282774925,5.731773376464844,3.875,0.8997913599014282,,,pretrained
104,0.02339647151529789,0.027089301496744156,5.715649604797363,4.03125,0.9014119505882263,,,pretrained
105,0.023123038932681084,0.026633530855178833,5.61860466003418,3.71875,0.9031864404678345,,,pretrained
106,0.023787280544638634,0.026738781481981277,5.714198589324951,3.9237518310546875,0.9017037153244019,,,pretrained
107,0.02329406701028347,0.027460839599370956,5.7793450355529785,3.8125,0.8977041840553284,,,pretrained
108,0.022958215326070786,0.02640227973461151,5.645940780639648,3.706249237060547,0.9041757583618164,,,pretrained
109,0.02323068492114544,0.025997906923294067,5.583028793334961,3.6796875,0.9058318734169006,,,pretrained
110,0.02332598902285099,0.02672429569065571,5.6391282081604,3.6720008850097656,0.9014438986778259,,,pretrained
111,0.023305557668209076,0.027463113889098167,5.786349296569824,3.78125,0.8985153436660767,,,pretrained
112,0.023272771388292313,0.026041926816105843,5.588754177093506,3.846660614013672,0.9067080020904541,,,pretrained
113,0.022685451433062553,0.0275347251445055,5.792020797729492,3.798553466796875,0.8987179398536682,,,pretrained
114,0.023215921595692635,0.026604697108268738,5.629941463470459,3.671875,0.9022306203842163,,,pretrained
115,0.022730538621544838,0.026485642418265343,5.616354465484619,3.828125,0.9036935567855835,,,pretrained
116,0.023059850558638573,0.026839058846235275,5.704335689544678,3.796875,0.9007954597473145,,,pretrained
117,0.022602465003728867,0.026840034872293472,5.667509078979492,3.765625,0.9013589024543762,,,pretrained
118,0.022460998967289925,0.02636636793613434,5.636692047119141,3.9375,0.9046179056167603,,,pretrained
119,0.022660503163933754,0.026449119672179222,5.622084617614746,3.796875,0.904323935508728,,,pretrained
120,0.022583985701203346,0.026061445474624634,5.566893100738525,3.7109375,0.9055379033088684,,,pretrained
121,0.022173691540956497,0.026300447061657906,5.603002548217773,3.8125,0.904740571975708,,,pretrained
122,0.022355208173394203,0.026553845033049583,5.665775299072266,3.71875,0.9032666087150574,,,pretrained
123,0.022345619276165962,0.026335641741752625,5.569662570953369,3.7972488403320312,0.9037914276123047,,,pretrained
124,0.022154856473207474,0.02677689865231514,5.67373514175415,3.71875,0.9014668464660645,,,pretrained
125,0.02167998068034649,0.026684395968914032,5.676298141479492,3.78125,0.9033877849578857,,,pretrained
126,0.02200731821358204,0.027424843981862068,5.794598579406738,3.9375,0.9003483057022095,,,pretrained
127,0.022000480443239212,0.02614441327750683,5.568141937255859,3.5625,0.9048840999603271,,,pretrained
128,0.02188776805996895,0.02689415216445923,5.729839324951172,3.811748504638672,0.9036967158317566,,,pretrained
129,0.021899783983826637,0.02625899948179722,5.584799766540527,3.90625,0.9055720567703247,,,pretrained
