run,metric,first,final,best,best_epoch,improvement,improvement_pct,auc,n_epochs
random_init,train_loss,0.1449248492717743,0.10142470896244049,0.10092699527740479,39,0.0435001403093338,30.015653304395695,4.640096455812454,41
random_init,val_loss,0.1413579136133194,0.09965278953313828,0.09965278953313828,40,0.04170512408018112,29.503211397321778,4.629098374396563,41
random_init,val_mae,22.877126693725586,16.75331687927246,16.75331687927246,40,6.123809814453125,26.768264635841163,762.9430732727051,41
random_init,val_medae,20.28125,11.756332397460938,11.71875,38,8.524917602539062,42.033492031009246,585.070629119873,41
random_init,val_r2,-0.06094622611999512,0.2905448079109192,0.2905448079109192,40,0.3514910340309143,576.7232139015049,5.740963011980057,41
pretrained,train_loss,0.1424526870250702,0.017627034336328506,0.017206301912665367,289,0.12482565268874168,87.62604293085302,7.287327842786908,300
pretrained,val_loss,0.13556577265262604,0.025314142927527428,0.02509414032101631,227,0.11025162972509861,81.32703968545775,8.414221144281328,300
pretrained,val_mae,22.036190032958984,5.438567161560059,5.405462741851807,227,16.597622871398926,75.31983907642052,1760.2166724205017,300
pretrained,val_medae,19.34375,3.9375,3.5625,127,15.40625,79.64458804523424,1205.3286304473877,300
pretrained,val_r2,0.010663509368896484,0.9107245206832886,0.9114463329315186,227,0.9000610113143921,8440.570361758262,267.10348629951477,300
