trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae
89,46,,,,871.95802045,,1780655409.1591926,1.0,0.10809658467769623,,,,,,,,,,,,
99,47,3.96e-06,1.9800000000000004e-05,1.9800000000000004e-05,954.645370182,3.96e-06,1780655491.8465188,,,,,,,,,,,,,,
99,48,3.96e-06,1.9800000000000004e-05,1.9800000000000004e-05,956.949414547,3.96e-06,1780655494.1506011,,,,,,,,,,,,,,
99,49,3.96e-06,1.9800000000000004e-05,1.9800000000000004e-05,959.250890058,3.96e-06,1780655496.4520113,,,,,,,,,,,,,,
99,50,3.96e-06,1.9800000000000004e-05,1.9800000000000004e-05,961.555548586,3.96e-06,1780655498.756627,,,,,,,,,,,,,,
99,51,,,,963.858163721,,1780655501.0593538,1.0,0.13839887082576752,,,,,,,,,,,,
109,52,4.360000000000001e-06,2.18e-05,2.18e-05,1046.738480917,4.360000000000001e-06,1780655583.9395938,,,,,,,,,,,,,,
109,53,4.360000000000001e-06,2.18e-05,2.18e-05,1049.042039767,4.360000000000001e-06,1780655586.2431848,,,,,,,,,,,,,,
109,54,4.360000000000001e-06,2.18e-05,2.18e-05,1051.343082802,4.360000000000001e-06,1780655588.5443037,,,,,,,,,,,,,,
109,55,4.360000000000001e-06,2.18e-05,2.18e-05,1053.64850137,4.360000000000001e-06,1780655590.849778,,,,,,,,,,,,,,
109,56,,,,1055.952561112,,1780655593.1537137,1.0,0.10190373659133911,,,,,,,,,,,,
113,57,,,,1116.352620396,,1780655653.5539017,1.0,,0.1399630308151245,19.0625,0.0,0.1399630308151245,22.6623592376709,-0.07311892509460449,,,,,,
113,58,,,,1116.811680643,,1780655654.012752,1.0,,,,,,,,0.0,0.1399066150188446,0.1399066150188446,22.65065574645996,-0.0553051233291626,19.4375
