trainer/global_step,_step,lr-AdamW/pg4,lr-AdamW/pg1,lr-AdamW/pg2,_runtime,lr-AdamW/pg3,_timestamp,epoch,train/loss_step,val/age_loss,val/medae,val/recon_loss,val/loss,val/mae,val/r2,train/recon_loss,train/age_loss,train/loss_epoch,train/mae,train/r2,train/medae,test/mae,test/loss,test/r2,test/recon_loss,test/medae,test/age_loss
99,48,0.0,9.900000000000001e-05,9.900000000000001e-05,311.269060435,0.0,1778601106.9396453,,,,,,,,,,,,,,,,,,,,
99,49,0.0,9.900000000000001e-05,9.900000000000001e-05,311.937983098,0.0,1778601107.6087656,,,,,,,,,,,,,,,,,,,,
99,50,0.0,9.900000000000001e-05,9.900000000000001e-05,312.607034674,0.0,1778601108.2777963,,,,,,,,,,,,,,,,,,,,
99,51,,,,313.277161938,,1778601108.9479268,1.0,0.4415004253387451,,,,,,,,,,,,,,,,,,
109,52,0.0,9.999972977378436e-05,9.999972977378436e-05,337.382673041,0.0,1778601133.053188,,,,,,,,,,,,,,,,,,,,
109,53,0.0,9.999972977378436e-05,9.999972977378436e-05,338.053136388,0.0,1778601133.7237017,,,,,,,,,,,,,,,,,,,,
109,54,0.0,9.999972977378436e-05,9.999972977378436e-05,338.72218646,0.0,1778601134.392976,,,,,,,,,,,,,,,,,,,,
109,55,0.0,9.999972977378436e-05,9.999972977378436e-05,339.391479768,0.0,1778601135.062229,,,,,,,,,,,,,,,,,,,,
109,56,,,,340.061936976,,1778601135.7325528,1.0,0.5045579075813293,,,,,,,,,,,,,,,,,,
117,57,,,,384.794559396,,1778601180.4652588,1.0,,0.44159579277038574,12.458999633789062,0.0,0.44159579277038574,14.456914901733398,0.5579721927642822,,,,,,,,,,,,
117,58,,,,384.987827875,,1778601180.6584013,1.0,,,,,,,,0.0,0.5201480984687805,0.5201480984687805,15.726885795593262,0.47985363006591797,13.563751220703125,,,,,,
119,59,0.0,9.999879566222095e-05,9.999879566222095e-05,387.944543855,0.0,1778601183.614943,,,,,,,,,,,,,,,,,,,,
119,60,0.0,9.999879566222095e-05,9.999879566222095e-05,388.614925415,0.0,1778601184.2854884,,,,,,,,,,,,,,,,,,,,
119,61,0.0,9.999879566222095e-05,9.999879566222095e-05,389.285407436,0.0,1778601184.9559553,,,,,,,,,,,,,,,,,,,,
119,62,0.0,9.999879566222095e-05,9.999879566222095e-05,389.955985412,0.0,1778601185.6265707,,,,,,,,,,,,,,,,,,,,
119,63,,,,390.626302034,,1778601186.2969468,2.0,0.219105526804924,,,,,,,,,,,,,,,,,,
129,64,0.0,9.999719434164599e-05,9.999719434164599e-05,414.748414123,0.0,1778601210.4189138,,,,,,,,,,,,,,,,,,,,
129,65,0.0,9.999719434164599e-05,9.999719434164599e-05,415.418623992,0.0,1778601211.089195,,,,,,,,,,,,,,,,,,,,
129,66,0.0,9.999719434164599e-05,9.999719434164599e-05,416.089029957,0.0,1778601211.7596035,,,,,,,,,,,,,,,,,,,,
129,67,0.0,9.999719434164599e-05,9.999719434164599e-05,416.759478155,0.0,1778601212.430044,,,,,,,,,,,,,,,,,,,,
129,68,,,,417.429875958,,1778601213.1004848,2.0,0.2771231234073639,,,,,,,,,,,,,,,,,,
139,69,0.0,9.999492583342828e-05,9.999492583342828e-05,441.548862541,0.0,1778601237.219407,,,,,,,,,,,,,,,,,,,,
139,70,0.0,9.999492583342828e-05,9.999492583342828e-05,442.218918618,0.0,1778601237.88951,,,,,,,,,,,,,,,,,,,,
139,71,0.0,9.999492583342828e-05,9.999492583342828e-05,442.889225201,0.0,1778601238.559822,,,,,,,,,,,,,,,,,,,,
139,72,0.0,9.999492583342828e-05,9.999492583342828e-05,443.559514649,0.0,1778601239.2302718,,,,,,,,,,,,,,,,,,,,
139,73,,,,444.229895804,,1778601239.9005716,2.0,0.2284935712814331,,,,,,,,,,,,,,,,,,
149,74,0.0,9.999199016783993e-05,9.999199016783993e-05,468.3452963,0.0,1778601264.016022,,,,,,,,,,,,,,,,,,,,
149,75,0.0,9.999199016783993e-05,9.999199016783993e-05,469.015297763,0.0,1778601264.6858783,,,,,,,,,,,,,,,,,,,,
149,76,0.0,9.999199016783993e-05,9.999199016783993e-05,469.685792828,0.0,1778601265.3563983,,,,,,,,,,,,,,,,,,,,
149,77,0.0,9.999199016783993e-05,9.999199016783993e-05,470.356361032,0.0,1778601266.0269752,,,,,,,,,,,,,,,,,,,,
149,78,,,,471.027269829,,1778601266.697875,2.0,0.39792704582214355,,,,,,,,,,,,,,,,,,
159,79,0.0,9.998838738405594e-05,9.998838738405594e-05,495.146884148,0.0,1778601290.8174577,,,,,,,,,,,,,,,,,,,,
159,80,0.0,9.998838738405594e-05,9.998838738405594e-05,495.817214293,0.0,1778601291.4878504,,,,,,,,,,,,,,,,,,,,
159,81,0.0,9.998838738405594e-05,9.998838738405594e-05,496.487663096,0.0,1778601292.1582127,,,,,,,,,,,,,,,,,,,,
159,82,0.0,9.998838738405594e-05,9.998838738405594e-05,497.158337207,0.0,1778601292.8289492,,,,,,,,,,,,,,,,,,,,
159,83,,,,497.828702675,,1778601293.4993162,2.0,0.49937230348587036,,,,,,,,,,,,,,,,,,
169,84,0.0,9.998411753015367e-05,9.998411753015367e-05,521.948597052,0.0,1778601317.6191628,,,,,,,,,,,,,,,,,,,,
169,85,0.0,9.998411753015367e-05,9.998411753015367e-05,522.618909668,0.0,1778601318.2894669,,,,,,,,,,,,,,,,,,,,
169,86,0.0,9.998411753015367e-05,9.998411753015367e-05,523.288867461,0.0,1778601318.9596374,,,,,,,,,,,,,,,,,,,,
169,87,0.0,9.998411753015367e-05,9.998411753015367e-05,523.959461871,0.0,1778601319.6300566,,,,,,,,,,,,,,,,,,,,
169,88,,,,524.629753766,,1778601320.3003747,2.0,0.1550801545381546,,,,,,,,,,,,,,,,,,
176,89,,,,566.757679455,,1778601362.4283412,2.0,,0.29036879539489746,8.7421875,0.0,0.29036879539489746,11.062084197998047,0.7093398571014404,,,,,,,,,,,,
176,90,,,,566.92875068,,1778601362.5992892,2.0,,,,,,,,0.0,0.3483259379863739,0.3483259379863739,12.186196327209473,0.651680588722229,9.625,,,,,,
179,91,0.0,9.997918066311216e-05,9.997918066311216e-05,572.60099879,0.0,1778601368.2713268,,,,,,,,,,,,,,,,,,,,
179,92,0.0,9.997918066311216e-05,9.997918066311216e-05,573.272067729,0.0,1778601368.942796,,,,,,,,,,,,,,,,,,,,
179,93,0.0,9.997918066311216e-05,9.997918066311216e-05,573.942573052,0.0,1778601369.6131597,,,,,,,,,,,,,,,,,,,,
179,94,0.0,9.997918066311216e-05,9.997918066311216e-05,574.611504557,0.0,1778601370.2822533,,,,,,,,,,,,,,,,,,,,
179,95,,,,575.281851191,,1778601370.952479,3.0,0.33410221338272095,,,,,,,,,,,,,,,,,,
189,96,0.0,9.997357684881147e-05,9.997357684881147e-05,599.398364584,0.0,1778601395.068881,,,,,,,,,,,,,,,,,,,,
189,97,0.0,9.997357684881147e-05,9.997357684881147e-05,600.068638316,0.0,1778601395.739261,,,,,,,,,,,,,,,,,,,,
189,98,0.0,9.997357684881147e-05,9.997357684881147e-05,600.739319861,0.0,1778601396.40994,,,,,,,,,,,,,,,,,,,,
189,99,0.0,9.997357684881147e-05,9.997357684881147e-05,601.408260268,0.0,1778601397.0790045,,,,,,,,,,,,,,,,,,,,
189,100,,,,602.07866736,,1778601397.7492478,3.0,0.4438730478286743,,,,,,,,,,,,,,,,,,
199,101,0.0,9.996730616203174e-05,9.996730616203174e-05,626.192543136,0.0,1778601421.8631408,,,,,,,,,,,,,,,,,,,,
199,102,0.0,9.996730616203174e-05,9.996730616203174e-05,628.395201387,0.0,1778601424.065783,,,,,,,,,,,,,,,,,,,,
199,103,0.0,9.996730616203174e-05,9.996730616203174e-05,631.954658694,0.0,1778601427.6252806,,,,,,,,,,,,,,,,,,,,
199,104,0.0,9.996730616203174e-05,9.996730616203174e-05,633.191625346,0.0,1778601428.8624144,,,,,,,,,,,,,,,,,,,,
199,105,,,,633.862972129,,1778601429.5335867,3.0,0.24575552344322205,,,,,,,,,,,,,,,,,,
209,106,0.0,9.99603686864521e-05,9.99603686864521e-05,657.978143768,0.0,1778601453.6486547,,,,,,,,,,,,,,,,,,,,
209,107,0.0,9.99603686864521e-05,9.99603686864521e-05,658.64847384,0.0,1778601454.3190582,,,,,,,,,,,,,,,,,,,,
209,108,0.0,9.99603686864521e-05,9.99603686864521e-05,659.318845505,0.0,1778601454.9893982,,,,,,,,,,,,,,,,,,,,
209,109,0.0,9.99603686864521e-05,9.99603686864521e-05,659.98792057,0.0,1778601455.6586716,,,,,,,,,,,,,,,,,,,,
209,110,,,,660.65914649,,1778601456.3296988,3.0,0.15946488082408905,,,,,,,,,,,,,,,,,,
219,111,0.0,9.995276451464972e-05,9.995276451464972e-05,684.792975835,0.0,1778601480.46354,,,,,,,,,,,,,,,,,,,,
219,112,0.0,9.995276451464972e-05,9.995276451464972e-05,685.46408061,0.0,1778601481.1346552,,,,,,,,,,,,,,,,,,,,
219,113,0.0,9.995276451464972e-05,9.995276451464972e-05,686.134925445,0.0,1778601481.805498,,,,,,,,,,,,,,,,,,,,
219,114,0.0,9.995276451464972e-05,9.995276451464972e-05,686.805481885,0.0,1778601482.4760938,,,,,,,,,,,,,,,,,,,,
219,115,,,,687.476939121,,1778601483.1475697,3.0,0.28932347893714905,,,,,,,,,,,,,,,,,,
229,116,0.0,9.994449374809851e-05,9.994449374809851e-05,711.605220473,0.0,1778601507.2757573,,,,,,,,,,,,,,,,,,,,
229,117,0.0,9.994449374809851e-05,9.994449374809851e-05,712.276518527,0.0,1778601507.9471025,,,,,,,,,,,,,,,,,,,,
229,118,0.0,9.994449374809851e-05,9.994449374809851e-05,712.947392644,0.0,1778601508.6179626,,,,,,,,,,,,,,,,,,,,
229,119,0.0,9.994449374809851e-05,9.994449374809851e-05,713.616408226,0.0,1778601509.2871594,,,,,,,,,,,,,,,,,,,,
229,120,,,,714.287218075,,1778601509.9577918,3.0,0.3663519322872162,,,,,,,,,,,,,,,,,,
235,121,,,,753.718393995,,1778601549.3890936,3.0,,0.3280975818634033,9.5625,0.0,0.3280975818634033,11.81456184387207,0.671563446521759,,,,,,,,,,,,
235,122,,,,753.918932047,,1778601549.5894656,3.0,,,,,,,,0.0,0.29319503903388977,0.29319503903388977,10.991074562072754,0.7067962884902954,8.34375,,,,,,
239,123,0.0,9.99355564971677e-05,9.99355564971677e-05,762.304783646,0.0,1778601557.9750547,,,,,,,,,,,,,,,,,,,,
239,124,0.0,9.99355564971677e-05,9.99355564971677e-05,762.975087501,0.0,1778601558.645667,,,,,,,,,,,,,,,,,,,,
239,125,0.0,9.99355564971677e-05,9.99355564971677e-05,763.645251426,0.0,1778601559.3158357,,,,,,,,,,,,,,,,,,,,
239,126,0.0,9.99355564971677e-05,9.99355564971677e-05,764.315286838,0.0,1778601559.985884,,,,,,,,,,,,,,,,,,,,
239,127,,,,764.985898846,,1778601560.6564605,4.0,0.3855578303337097,,,,,,,,,,,,,,,,,,
249,128,0.0,9.992595288112046e-05,9.992595288112046e-05,789.10509658,0.0,1778601584.7756197,,,,,,,,,,,,,,,,,,,,
