epoch,validation/loss,validation/cpg_sites_accuracy,train/cpg_sites_cross_entropy_loss_epoch,train/cpg_sites_perplexity_step,lr-AdamW/pg2,train/cpg_sites_accuracy_epoch,_timestamp,validation/cpg_sites_perplexity,_runtime,validation/cpg_sites_cross_entropy_loss,_step,train/cpg_sites_cross_entropy_loss_step,train/cpg_sites_perplexity_epoch,train/cpg_sites_accuracy_step,lr-AdamW/pg1,trainer/global_step,train/loss_epoch,train/loss_step
1.0,,,,8632.08203125,,,1769777101.9280572,,411.18152596,,56,9.063241004943848,,0.0,,109,,9.063241004943848
,,,,,2.975e-06,,1769777132.9477901,,442.201200105,,57,,,,2.975e-06,119,,
,,,,,2.975e-06,,1769777133.809754,,443.063213217,,58,,,,2.975e-06,119,,
,,,,,2.975e-06,,1769777134.6717224,,443.925142364,,59,,,,2.975e-06,119,,
,,,,,2.975e-06,,1769777135.5334299,,444.786800604,,60,,,,2.975e-06,119,,
1.0,,,,8619.306640625,,,1769777136.3968503,,445.650263605,,61,9.061759948730469,,3.9131286030169576e-05,,119,,9.061759948730469
,,,,,3.225e-06,,1769777167.410601,,476.663988231,,62,,,,3.225e-06,129,,
,,,,,3.225e-06,,1769777168.2722325,,477.525597346,,63,,,,3.225e-06,129,,
,,,,,3.225e-06,,1769777169.1339426,,478.387410357,,64,,,,3.225e-06,129,,
,,,,,3.225e-06,,1769777169.995661,,479.249013834,,65,,,,3.225e-06,129,,
1.0,,,,8553.5361328125,,,1769777170.8592038,,480.112670266,,66,9.054100036621094,,0.00011686338984873146,,129,,9.054100036621094
,,,,,3.4750000000000006e-06,,1769777201.8749394,,511.128348382,,67,,,,3.4750000000000006e-06,139,,
,,,,,3.4750000000000006e-06,,1769777202.7373075,,511.990771269,,68,,,,3.4750000000000006e-06,139,,
,,,,,3.4750000000000006e-06,,1769777203.5993505,,512.852693784,,69,,,,3.4750000000000006e-06,139,,
,,,,,3.4750000000000006e-06,,1769777204.461476,,513.714832395,,70,,,,3.4750000000000006e-06,139,,
1.0,,,,8550.787109375,,,1769777205.3246222,,514.57802565,,71,9.053778648376465,,0.0001958403445314616,,139,,9.053778648376465
,,,,,3.725e-06,,1769777236.3493462,,545.602741197,,72,,,,3.725e-06,149,,
,,,,,3.725e-06,,1769777237.2119925,,546.46540804,,73,,,,3.725e-06,149,,
,,,,,3.725e-06,,1769777238.0740278,,547.327385808,,74,,,,3.725e-06,149,,
,,,,,3.725e-06,,1769777238.935943,,548.189288993,,75,,,,3.725e-06,149,,
1.0,,,,8491.2138671875,,,1769777239.7994785,,549.052944692,,76,9.04678726196289,,7.779679435770959e-05,,149,,9.04678726196289
,,,,,3.975e-06,,1769777270.8165598,,580.069961204,,77,,,,3.975e-06,159,,
,,,,,3.975e-06,,1769777271.6786728,,580.932138901,,78,,,,3.975e-06,159,,
