run_id,run_name,state,hidden_size,num_layers,params_M,val_pcc,val_loss,train_pcc,train_loss,epoch,runtime_h,pcc_gap
4w1gc0kg,h128_l8-44437051_2,finished,128,8,8.38976,0.8766084313392639,0.023617668077349663,0.8791050910949707,0.023165304213762283,30,1.893888888888889,0.002496659755706787
5s07fa6z,h512_l2-44437051_6,finished,512,2,33.55904,0.8859790563583374,0.021870164200663567,0.8895253539085388,0.021271679550409317,30,2.0480555555555555,0.003546297550201416
7ei3kyob,h256_l4-44437051_4,finished,256,4,16.77952,0.8839190602302551,0.022329263389110565,0.8891370892524719,0.021342191845178604,30,1.9194444444444445,0.005218029022216797
ioasssxk,h256_l2-44437051_3,finished,256,2,14.682368,0.881705105304718,0.02270496636629105,0.8863705992698669,0.021836858242750168,30,1.001111111111111,0.004665493965148926
kydalk6h,h128_l4-44437051_1,finished,128,4,7.341184,0.8795602321624756,0.02313132770359516,0.8796571493148804,0.023071007803082463,30,0.9738888888888889,9.691715240478516e-05
m7797lu8,h128_l2-44437051_0,finished,128,2,6.816896,0.875203013420105,0.023855624720454216,0.8757694363594055,0.023750847205519676,30,0.5138888888888888,0.0005664229393005371
0uth545k,h512_l4-44437051_7,finished,512,4,41.947648,0.835314929485321,0.03103315271437168,0.8345298171043396,0.03128635138273239,30,3.8941666666666666,-0.0007851123809814453
5yisa77c,h256_l8-44437051_5,finished,256,8,20.973824,0.8829373717308044,0.022436661645770073,0.8865290880203247,0.02181267738342285,30,3.799166666666667,0.0035917162895202637
